table_schema,table_name,column_name,data_type
public,doenca,cod_doenca,integer
public,doenca,nome_doenca,character varying
public,doenca_municipio,cod_doenca,integer
public,doenca_municipio,cod_munip,integer
public,doenca_municipio,total_casos,integer
public,fato_saneamento,cod_munip,integer
public,fato_saneamento,pop_atendida_agua,integer
public,fato_saneamento,vol_agua_anual,numeric
public,fato_saneamento,vol_agua_eta,numeric
public,fato_saneamento,vol_agua_desinfec,numeric
public,fato_saneamento,vol_agua_fluor,numeric
public,fato_saneamento,pop_atendida_esgoto,integer
public,fato_saneamento,vol_esgoto_coletado,numeric
public,fato_saneamento,vol_esgoto_tratado,numeric
public,fato_saneamento,amostra_cloro,integer
public,fato_saneamento,amostra_cloro_irregular,integer
public,fato_saneamento,amostra_turbidez,integer
public,fato_saneamento,amostra_turbidez_irregular,integer
public,fato_saneamento,amostra_coliformes,integer
public,fato_saneamento,amostra_coliformes_irregular,integer
public,municipio,cod_munip,integer
public,municipio,nome_munip,character varying
public,municipio,pop_munip,integer
public,municipio,mortalidade_saneamento,integer
public,municipio,tipo_servico_recebido,character varying
public,municipio,cod_prestador,integer
public,prestador,cod_prestador,integer
public,prestador,nome_prestador,character varying
public,prestador,sigla_prestador,character varying
public,prestador,abrangencia_prestador,character varying
public,prestador,tipo_prestador,character varying
public,raw_fato_doencas_2021,codigo_ibge,text
public,raw_fato_doencas_2021,internacoes_amebiase,text
public,raw_fato_doencas_2021,internacoes_colera,text
public,raw_fato_doencas_2021,internacoes_diarreia_provavel_infec,text
public,raw_fato_doencas_2021,internacoes_esquistossomose,text
public,raw_fato_doencas_2021,internacoes_febre_tifoide,text
public,raw_fato_doencas_2021,internacoes_helmintiases,text
public,raw_fato_doencas_2021,internacoes_leptospiroses,text
public,raw_fato_doencas_2021,total_mortes_baixo_saneamento,text
public,raw_saneamento_minas_municipios,cod_munip,text
public,raw_saneamento_minas_municipios,nome_munip,text
public,raw_saneamento_minas_municipios,cod_prestador,text
public,raw_saneamento_minas_municipios,nome_prestador,text
public,raw_saneamento_minas_municipios,sigla_prestador,text
public,raw_saneamento_minas_municipios,abrangencia_prestador,text
public,raw_saneamento_minas_municipios,tipo_prestador,text
public,raw_saneamento_minas_municipios,tipo_servico_recebido,text
public,raw_saneamento_minas_municipios,pop_munip,text
public,raw_saneamento_minas_municipios,pop_atendida_agua,text
public,raw_saneamento_minas_municipios,vol_agua_anual,text
public,raw_saneamento_minas_municipios,vol_agua_eta,text
public,raw_saneamento_minas_municipios,vol_agua_desinfec,text
public,raw_saneamento_minas_municipios,vol_agua_fluor,text
public,raw_saneamento_minas_municipios,pop_atendida_esgoto,text
public,raw_saneamento_minas_municipios,vol_esgoto_coletado,text
public,raw_saneamento_minas_municipios,vol_esgoto_tratado,text
public,raw_saneamento_minas_municipios,amostra_cloro,text
public,raw_saneamento_minas_municipios,amostra_cloro_irregular,text
public,raw_saneamento_minas_municipios,amostra_turbidez,text
public,raw_saneamento_minas_municipios,amostra_turbidez_irregular,text
public,raw_saneamento_minas_municipios,amostra_coliformes,text
public,raw_saneamento_minas_municipios,amostra_coliformes_irregular,text
