cod_prestador,nome_prestador,total_municipios_atendidos
31062000,Companhia de Saneamento de Minas Gerais,557
31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,46
31080011,Águas de Bom Sucesso Ltda,1
31471011,Águas de Pará de Minas S. A.,1
31599012,Águas de Santo Antonio do Amparo,1
31367011,Companhia de Saneamento Municipal,1
31472011,Concessionária de Saneamento Básico Ltda,1
31696011,Departamento de Água e Esgoto,1
31481011,Departamento de Água e Esgoto de Patrocínio,1
31460011,Departamento Municipal Autônomo de Água e Esgoto,1
31355011,Departamento Municipal de Água e Esgoto,1
31386011,Departamento Municipal de Água e Esgoto,1
31112011,Departamento Municipal de Água e Esgoto,1
31518011,Departamento Municipal de Água e Esgoto,1
31431011,Departamento Municipal de Água e Esgoto,1
31521011,"Departamento Municipal de Água, Esgoto e Saneamento",1
31362011,Departamento Municipal de Águas e Esgotos,1
31439011,Departamento Municipal de Saneamento Urbano,1
31461012,Ouro Preto Serviços de Saneamento S.A.,1
31004011,Prefeitura Municipal de Acaiaca,1
31008011,Prefeitura Municipal de Águanil,1
31012011,Prefeitura Municipal de Aiuruoca,1
31020511,Prefeitura Municipal de Alto Caparaó,1
31037511,Prefeitura Municipal de Araporã,1
31044011,Prefeitura Municipal de Argirita,1
31068011,Prefeitura Municipal de Bias Fortes,1
31072011,Prefeitura Municipal de Bocaina de Minas,1
31087011,Prefeitura Municipal de Brás Pires,1
31096011,Prefeitura Municipal de Cachoeira da Prata,1
31098011,Prefeitura Municipal de Cachoeira Dourada,1
31126511,Prefeitura Municipal de Capitão Andrade,1
31131011,Prefeitura Municipal de Caranaíba,1
31138011,Prefeitura Municipal de Carmésia,1
31146011,Prefeitura Municipal de Carrancas,1
31149011,Prefeitura Municipal de Casa Grande,1
31153511,Prefeitura Municipal de Catas Altas,1
31154011,Prefeitura Municipal de Catas Altas da Noruega,1
31160011,Prefeitura Municipal de Chalé,1
31164011,Prefeitura Municipal de Claraval,1
31173011,Prefeitura Municipal de Conceição das Alagoas,1
31172011,Prefeitura Municipal de Conceição das Pedras,1
31174011,Prefeitura Municipal de Conceição de Ipanema,1
31185011,Prefeitura Municipal de Consolação,1
31196011,Prefeitura Municipal de Coronel Pacheco,1
31199011,Prefeitura Municipal de Córrego do Bom Jesus,1
31205011,Prefeitura Municipal de Cristina,1
31211011,Prefeitura Municipal de Delfim Moreira,1
31212511,Prefeitura Municipal de Delta,1
31214011,Prefeitura Municipal de Desterro de Entre Rios,1
31217011,Prefeitura Municipal de Diogo de Vasconcelos,1
31224711,Prefeitura Municipal de Dom Bosco,1
31228011,Prefeitura Municipal de Dom Viçoso,1
31230011,Prefeitura Municipal de Dores de Campos,1
31231011,Prefeitura Municipal de Dores de Guanhães,1
31235011,Prefeitura Municipal de Douradoquara,1
31244011,Prefeitura Municipal de Espírito Santo do Dourado,1
31250011,Prefeitura Municipal de Ewbank da Camara,1
31273311,Prefeitura Municipal de Gameleiras,1
31273711,Prefeitura Municipal de Goiabeira,1
31275011,Prefeitura Municipal de Gonzaga,1
31300011,Prefeitura Municipal de Ibituruna,1
31304011,Prefeitura Municipal de Ijaci,1
31310011,Prefeitura Municipal de Inhauma,1
31328011,Prefeitura Municipal de Itambé do Mato Dentro,1
31331011,Prefeitura Municipal de Itanhandu,1
31350011,Prefeitura Municipal de Jáguaraçu,1
31353011,Prefeitura Municipal de Japaraíba,1
31354011,Prefeitura Municipal de Jeceaba,1
31359011,Prefeitura Municipal de Jesuania,1
31361011,Prefeitura Municipal de Joanésia,1
31379011,Prefeitura Municipal de Lamim,1
31386711,Prefeitura Municipal de Luisburgo,1
31387011,Prefeitura Municipal de Luminárias,1
31392511,Prefeitura Municipal de Mamonas,1
31403011,Prefeitura Municipal de Marliéria,1
31404011,Prefeitura Municipal de Marmelópolis,1
31417011,Prefeitura Municipal de Mesquita,1
31428011,Prefeitura Municipal de Monte Alegre de Minas,1
31437011,Prefeitura Municipal de Morro do Pilar,1
31447011,Prefeitura Municipal de Nova Era,1
31450011,Prefeitura Municipal de Nova Ponte,1
31454011,Prefeitura Municipal de Olaria,1
31455011,Prefeitura Municipal de Olímpio Noronha,1
31466011,Prefeitura Municipal de Paiva,1
31469011,Prefeitura Municipal de Papagaios,1
31476011,Prefeitura Municipal de Passa Quatro,1
31490011,Prefeitura Municipal de Pedra Dourada,1
31494011,Prefeitura Municipal de Pedro Teixeira,1
31496011,Prefeitura Municipal de Pequi,1
