nome_munip,vol_esgoto_coletado,vol_esgoto_tratado,volume_esgoto_in_natura,taxa_tratamento_pct,taxa_media_estado_pct
CAMBUQUIRA,220.81,0.00,220.81,0.00,63.99
ABRE CAMPO,205.20,0.00,205.20,0.00,63.99
ACAIACA,190.00,0.00,190.00,0.00,63.99
AGUANIL,120.00,0.00,120.00,0.00,63.99
TUPACIGUARA,2719.67,0.00,2719.67,0.00,63.99
GOVERNADOR VALADARES,13323.32,0.00,13323.32,0.00,63.99
OURO FINO,1424.33,0.00,1424.33,0.00,63.99
GUAPÉ,700.00,0.00,700.00,0.00,63.99
GUARACIABA,93.65,0.00,93.65,0.00,63.99
GUARANI,1350.00,0.00,1350.00,0.00,63.99
OLÍMPIO NORONHA,395.00,0.00,395.00,0.00,63.99
GUAXUPÉ,2123.37,0.00,2123.37,0.00,63.99
GUIMARÂNIA,267.08,0.00,267.08,0.00,63.99
IBIÁ,1172.34,0.00,1172.34,0.00,63.99
OLARIA,59.00,0.00,59.00,0.00,63.99
IBIRACI,345.51,0.00,345.51,0.00,63.99
NOVORIZONTE,18.05,0.00,18.05,0.00,63.99
IBITURUNA,94.98,0.00,94.98,0.00,63.99
NOVO CRUZEIRO,208.92,0.00,208.92,0.00,63.99
IGARAPÉ,947.84,0.00,947.84,0.00,63.99
IGUATAMA,299.95,0.00,299.95,0.00,63.99
NOVA MÓDICA,71.80,0.00,71.80,0.00,63.99
NOVA ERA,676.70,0.00,676.70,0.00,63.99
INHAPIM,267.65,0.00,267.65,0.00,63.99
NEPOMUCENO,1900.00,0.00,1900.00,0.00,63.99
IPANEMA,973.00,0.00,973.00,0.00,63.99
NATÉRCIA,106.19,0.00,106.19,0.00,63.99
IPUIÚNA,218.97,0.00,218.97,0.00,63.99
ITABIRINHA,191.52,0.00,191.52,0.00,63.99
MUTUM,320.37,0.00,320.37,0.00,63.99
ABAETÉ,90.98,0.00,90.98,0.00,63.99
MESQUITA,500.00,0.00,500.00,0.00,63.99
MARMELÓPOLIS,305.00,0.00,305.00,0.00,63.99
MARLIÉRIA,147.00,0.00,147.00,0.00,63.99
ITAPEVA,220.63,0.00,220.63,0.00,63.99
ITAÚNA,5929.62,0.00,5929.62,0.00,63.99
MARIANA,5323.70,0.00,5323.70,0.00,63.99
MANHUMIRIM,875.00,0.00,875.00,0.00,63.99
MAMONAS,27.70,0.00,27.70,0.00,63.99
JACINTO,196.97,0.00,196.97,0.00,63.99
LUMINÁRIAS,60.00,0.00,60.00,0.00,63.99
LUISBURGO,180.00,0.00,180.00,0.00,63.99
LIMA DUARTE,571.00,0.00,571.00,0.00,63.99
LEANDRO FERREIRA,91.52,0.00,91.52,0.00,63.99
LAMBARI,831.17,0.00,831.17,0.00,63.99
JECEABA,250.63,0.00,250.63,0.00,63.99
LAJINHA,470.48,0.00,470.48,0.00,63.99
JEQUERI,530.00,0.00,530.00,0.00,63.99
LAGOA DOURADA,19.91,0.00,19.91,0.00,63.99
