nome_prestador,qtd_municipios_atendidos,total_amostras,total_irregulares,taxa_irregularidade_pct
Prefeitura Municipal de Itambé do Mato Dentro,1,1,1,100.00
Prefeitura Municipal de Rochedo de Minas,1,6,6,100.00
Prefeitura Municipal de Marmelópolis,1,72,72,100.00
Prefeitura Municipal de Casa Grande,1,48,48,100.00
Prefeitura Municipal de Carrancas,1,2,2,100.00
Prefeitura Municipal de Brás Pires,1,13,7,53.85
Prefeitura Municipal de Conceição das Pedras,1,75,40,53.33
Prefeitura Municipal de Cachoeira da Prata,1,12,6,50.00
Prefeitura Municipal de Bias Fortes,1,5,2,40.00
Prefeitura Municipal de Conceição das Alagoas,1,180,22,12.22
Prefeitura Municipal de São José da Varginha,1,4950,575,11.62
Prefeitura Municipal de Coronel Pacheco,1,4380,438,10.00
Prefeitura Municipal de Senhora dos Remédios,1,400,40,10.00
Prefeitura Municipal de Passa Quatro,1,4320,432,10.00
Prefeitura Municipal de Dores de Campos,1,4380,383,8.74
SAAE - Serviço Autônomo de Água e Esgoto,1,4392,345,7.86
Prefeitura Municipal de Pequi,1,6692,497,7.43
Companhia de Saneamento Municipal,1,4419,269,6.09
Serviço Autônomo de Água e Esgoto de Sacramento,1,9264,515,5.56
Prefeitura Municipal de Dom Bosco,1,290,14,4.83
Prefeitura Municipal de Presidente Kubitschek,1,370,16,4.32
Prefeitura Municipal de Dores de Guanhães,1,5000,180,3.60
Departamento de Água e Esgoto de Patrocínio,1,4910,160,3.26
Prefeitura Municipal de Tocantins,1,4481,123,2.74
Prefeitura Municipal de Desterro de Entre Rios,1,4320,118,2.73
Serviço Autônomo de Água e Esgotos de Taparuba,1,8853,229,2.59
Prefeitura Municipal de São Francisco do Glória,1,4440,105,2.36
Superintendência de Água e Esgoto,1,8583,200,2.33
SERVIÇO AUTÔNOMO SANEAMENTO BÁSICO,1,720,16,2.22
Prefeitura Municipal de Piracema,1,4500,100,2.22
Prefeitura Municipal de Ibituruna,1,504,11,2.18
Prefeitura Municipal de Japaraíba,1,1751,38,2.17
Prefeitura Municipal de Reduto,1,8200,148,1.80
Serviço Autônomo de Água e Esgotosl de Lassance,1,120,2,1.67
Serviço Autarquico de Água e Esgoto,1,5375,90,1.67
Prefeitura Municipal de Dom Viçoso,1,3650,60,1.64
Prefeitura Municipal de Argirita,1,4602,75,1.63
Prefeitura Municipal de Diogo de Vasconcelos,1,2815,44,1.56
Prefeitura Municipal de Delta,1,580,8,1.38
Prefeitura Municipal de Carmésia,1,5000,66,1.32
Serviço Autônomo de Água e Esgotos,1,5285,55,1.04
Prefeitura Municipal de Joanésia,1,2090,21,1.00
Prefeitura Municipal de Jesuania,1,4380,43,0.98
Prefeitura Municipal de São João da Lagoa,1,1200,10,0.83
SERVIÇO AUTÔNOMO DE ÁGUA E ESGOTO,1,6231,50,0.80
Serviço Autônomo de Água e Esgoto de Itabira,1,26879,211,0.78
Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,46,196651,1314,0.67
Prefeitura Municipal de Cristina,1,4392,28,0.64
Serviço Autônomo de Água e Esgoto,45,266215,1487,0.56
Serviço Autônomo de Água e Esgoto de Mariana,1,19450,98,0.50
Ouro Preto Serviços de Saneamento S.A.,1,24600,118,0.48
Serviço Autônomo de Água e Esgoto de Iguatama,1,1499,7,0.47
Prefeitura Municipal de Acaiaca,1,4440,17,0.38
Prefeitura Municipal de Olímpio Noronha,1,4320,12,0.28
"Serviço Autônomo de Água, Esgoto e Saneamento Urbano",1,12302,32,0.26
Prefeitura Municipal de Itanhandu,1,4668,8,0.17
Prefeitura Municipal de Monte Alegre de Minas,1,3793,6,0.16
Serviço Autônomo Água e Esgoto,1,32480,48,0.15
Prefeitura Municipal de Pratápolis,1,4200,6,0.14
Departamento Municipal de Água e Esgoto,5,121868,166,0.14
Prefeitura Municipal de Luisburgo,1,3650,5,0.14
Prefeitura Municipal de Gonzaga,1,4400,5,0.11
Prefeitura Municipal de Rio Doce,1,2500,2,0.08
"Departamento Municipal de Água, Esgoto e Saneamento",1,6286,4,0.06
Prefeitura Municipal de São João da Mata,1,4380,2,0.05
Companhia de Saneamento de Minas Gerais,557,2397080,1311,0.05
Prefeitura Municipal de Jáguaraçu,1,18125,5,0.03
Prefeitura Municipal de São Sebastião do Rio Verde,1,4158,1,0.02
Prefeitura Municipal de Araporã,1,8832,1,0.01
Superintendência de Água e Esgotos de Ituiutaba,1,9812,0,0.00
Águas de Pará de Minas S. A.,1,10733,0,0.00
Águas de Santo Antonio do Amparo,1,6260,0,0.00
Concessionária de Saneamento Básico Ltda,1,3960,0,0.00
Departamento de Água e Esgoto,1,6840,0,0.00
Departamento Municipal Autônomo de Água e Esgoto,1,5340,0,0.00
Departamento Municipal de Águas e Esgotos,1,5808,0,0.00
Departamento Municipal de Saneamento Urbano,1,22838,0,0.00
Prefeitura Municipal de Águanil,1,6205,0,0.00
Prefeitura Municipal de Aiuruoca,1,12,0,0.00
Prefeitura Municipal de Alto Caparaó,1,1840,0,0.00
Prefeitura Municipal de Cachoeira Dourada,1,1115,0,0.00
Prefeitura Municipal de Capitão Andrade,1,4320,0,0.00
Prefeitura Municipal de Caranaíba,1,1,0,0.00
Prefeitura Municipal de Catas Altas,1,12,0,0.00
Prefeitura Municipal de Chalé,1,6000,0,0.00
Prefeitura Municipal de Claraval,1,36,0,0.00
Prefeitura Municipal de Conceição de Ipanema,1,4500,0,0.00
Prefeitura Municipal de Consolação,1,6116,0,0.00
Prefeitura Municipal de Córrego do Bom Jesus,1,232200,0,0.00
Prefeitura Municipal de Delfim Moreira,1,4428,0,0.00
Prefeitura Municipal de Douradoquara,1,120,0,0.00
Prefeitura Municipal de Espírito Santo do Dourado,1,4332,0,0.00
Prefeitura Municipal de Goiabeira,1,4320,0,0.00
Prefeitura Municipal de Inhauma,1,900,0,0.00
Prefeitura Municipal de Jeceaba,1,3557,0,0.00
Prefeitura Municipal de Lamim,1,10,0,0.00
Prefeitura Municipal de Luminárias,1,720,0,0.00
Prefeitura Municipal de Mamonas,1,40,0,0.00
Prefeitura Municipal de Marliéria,1,5160,0,0.00
Prefeitura Municipal de Mesquita,1,12,0,0.00
Prefeitura Municipal de Morro do Pilar,1,5,0,0.00
Prefeitura Municipal de Nova Era,1,11000,0,0.00
Prefeitura Municipal de Nova Ponte,1,1608,0,0.00
Prefeitura Municipal de Paiva,1,1,0,0.00
Prefeitura Municipal de Papagaios,1,4,0,0.00
Prefeitura Municipal de Pedra Dourada,1,4,0,0.00
Prefeitura Municipal de Pedro Teixeira,1,65,0,0.00
Prefeitura Municipal de Pratinha,1,48,0,0.00
Prefeitura Municipal de Queluzito,1,12,0,0.00
Prefeitura Municipal de Rio Acima,1,88,0,0.00
Prefeitura Municipal de Santa Cruz de Minas,1,204,0,0.00
Prefeitura Municipal de Santana do Garambéu,1,10,0,0.00
Prefeitura Municipal de Santana dos Montes,1,240,0,0.00
Prefeitura Municipal de São Geraldo da Piedade,1,3000,0,0.00
Prefeitura Municipal de São Geraldo do Baixio,1,12,0,0.00
Prefeitura Municipal de São Gonçalo do Rio Abaixo,1,365,0,0.00
Prefeitura Municipal de São João do Pacuí,1,9,0,0.00
Prefeitura Municipal de São Sebastião do Rio Preto,1,4,0,0.00
Prefeitura Municipal de Senador Cortes,1,4800,0,0.00
Prefeitura Municipal de Senador José Bento,1,5760,0,0.00
Prefeitura Municipal de Seritinga,1,3285,0,0.00
Prefeitura Municipal de Silvianópolis,1,8600,0,0.00
Prefeitura Municipal de Simão Pereira,1,1,0,0.00
Prefeitura Municipal de Tocos do Moji,1,4369,0,0.00
Sanarj Concessionária de Saneamento Básico Ltda,1,3650,0,0.00
Serviço Autônomo de Água e Esgoto de Divinolândia de Minas,1,8900,0,0.00
Serviço Autônomo de Água e Esgoto de Guarani,1,20,0,0.00
