cod_munip,nome_munip,pop_munip,cobertura_agua_pct,cobertura_esgoto_pct,total_casos
310620,BARBACENA,139061,30.69,27.79,296
310090,AGUANIL,4557,63.64,58.15,250
317020,SILVIANÓPOLIS,6258,60.23,60.23,210
313420,ITAMBÉ DO MATO DENTRO,2032,46.75,46.75,104
313960,LEANDRO FERREIRA,3222,64.62,59.37,74
310660,BELMIRO BRAGA,3422,25.80,0.00,71
315430,POMPÉU,32248,78.87,0.00,61
311860,CONCEIÇÃO DOS OUROS,11852,75.66,0.00,59
310030,ABRE CAMPO,13434,69.64,69.64,55
314330,MENDES PIMENTEL,6446,57.63,0.00,53
315680,RESSAQUINHA,4826,64.63,0.00,53
314400,MIRADOURO,10818,54.22,0.00,53
314220,MARTINS SOARES,8640,22.74,0.00,49
314270,MATIAS CARDOSO,11360,49.83,0.00,45
316200,SANTANA DO RIACHO,4334,39.18,0.00,40
315820,RITÁPOLIS,4521,72.22,0.00,40
315560,PRESIDENTE JUSCELINO,3572,50.62,0.00,39
312705,FERVEDOURO,11100,46.04,46.04,38
311830,CONCEIÇÃO DO MATO DENTRO,17438,59.80,48.18,37
313890,LAGOA GRANDE,9681,69.04,0.00,37
