cod_munip,nome_munip,pop_munip,total_casos
310620,BARBACENA,139061,296
310090,AGUANIL,4557,250
317020,SILVIANÓPOLIS,6258,210
310170,ALFENAS,80973,140
313420,ITAMBÉ DO MATO DENTRO,2032,104
313960,LEANDRO FERREIRA,3222,74
310660,BELMIRO BRAGA,3422,71
317200,TRÊS PONTAS,57127,64
315430,POMPÉU,32248,61
311860,CONCEIÇÃO DOS OUROS,11852,59
313130,IGUATAMA,7901,57
310030,ABRE CAMPO,13434,55
314400,MIRADOURO,10818,53
315680,RESSAQUINHA,4826,53
314330,MENDES PIMENTEL,6446,53
314220,MARTINS SOARES,8640,49
312015,CORONEL FABRICIANO,110709,48
314270,MATIAS CARDOSO,11360,45
311930,CONSELHEIRO PENA,22975,42
316200,SANTANA DO RIACHO,4334,40
