cod_munip,nome_munip,pop_munip,total_casos,taxa_casos_100mil
310090,AGUANIL,4557,250,5486.07
313420,ITAMBÉ DO MATO DENTRO,2032,104,5118.11
317020,SILVIANÓPOLIS,6258,210,3355.70
313960,LEANDRO FERREIRA,3222,74,2296.71
310660,BELMIRO BRAGA,3422,71,2074.81
315150,PEDRO TEIXEIRA,1804,22,1219.51
314790,ONÇA DE PITANGUI,3155,37,1172.74
315680,RESSAQUINHA,4826,53,1098.22
315560,PRESIDENTE JUSCELINO,3572,39,1091.83
310340,ANTÔNIO PRADO DE MINAS,1577,17,1078.00
316930,SERRA DA SAUDADE,771,8,1037.61
316200,SANTANA DO RIACHO,4334,40,922.93
315820,RITÁPOLIS,4521,40,884.76
314330,MENDES PIMENTEL,6446,53,822.22
314310,MATUTINA,3733,30,803.64
314180,MARIPÁ DE MINAS,3000,24,800.00
313130,IGUATAMA,7901,57,721.43
313670,JECEABA,4795,30,625.65
317030,SIMÃO PEREIRA,2621,16,610.45
314530,MORRO DA GARÇA,2413,14,580.19
