nome_munip,pop_munip,total_casos,taxa_casos_100mil,porte_populacional
AGUANIL,4557,250,5486.07,Pequeno porte
ITAMBÉ DO MATO DENTRO,2032,104,5118.11,Pequeno porte
SILVIANÓPOLIS,6258,210,3355.70,Pequeno porte
LEANDRO FERREIRA,3222,74,2296.71,Pequeno porte
BELMIRO BRAGA,3422,71,2074.81,Pequeno porte
PEDRO TEIXEIRA,1804,22,1219.51,Pequeno porte
ONÇA DE PITANGUI,3155,37,1172.74,Pequeno porte
RESSAQUINHA,4826,53,1098.22,Pequeno porte
PRESIDENTE JUSCELINO,3572,39,1091.83,Pequeno porte
ANTÔNIO PRADO DE MINAS,1577,17,1078.00,Pequeno porte
SERRA DA SAUDADE,771,8,1037.61,Pequeno porte
SANTANA DO RIACHO,4334,40,922.93,Pequeno porte
RITÁPOLIS,4521,40,884.76,Pequeno porte
MENDES PIMENTEL,6446,53,822.22,Pequeno porte
MATUTINA,3733,30,803.64,Pequeno porte
MARIPÁ DE MINAS,3000,24,800.00,Pequeno porte
IGUATAMA,7901,57,721.43,Pequeno porte
JECEABA,4795,30,625.65,Pequeno porte
SIMÃO PEREIRA,2621,16,610.45,Pequeno porte
MORRO DA GARÇA,2413,14,580.19,Pequeno porte
PEDRA DO ANTA,2960,17,574.32,Pequeno porte
MARTINS SOARES,8640,49,567.13,Pequeno porte
SÃO BRÁS DO SUAÇUÍ,3770,21,557.03,Pequeno porte
PIEDADE DE PONTE NOVA,4141,21,507.12,Pequeno porte
CONCEIÇÃO DOS OUROS,11852,59,497.81,Pequeno porte
MIRADOURO,10818,53,489.92,Pequeno porte
CAPITÃO ANDRADE,5559,25,449.72,Pequeno porte
TAPIRAÍ,1869,8,428.04,Pequeno porte
JURAMENTO,4359,18,412.94,Pequeno porte
ITAMARATI DE MINAS,4395,18,409.56,Pequeno porte
ABRE CAMPO,13434,55,409.41,Pequeno porte
MATIAS CARDOSO,11360,45,396.13,Pequeno porte
CONSOLAÇÃO,1786,7,391.94,Pequeno porte
TOCOS DO MOJI,4117,16,388.63,Pequeno porte
LAGOA GRANDE,9681,37,382.19,Pequeno porte
CONCEIÇÃO DO PARÁ,5558,21,377.83,Pequeno porte
RUBELITA,5609,20,356.57,Pequeno porte
FRONTEIRA DOS VALES,4542,16,352.27,Pequeno porte
SENADOR JOSÉ BENTO,1422,5,351.62,Pequeno porte
RIACHO DOS MACHADOS,9471,33,348.43,Pequeno porte
FERVEDOURO,11100,38,342.34,Pequeno porte
ARAÇAÍ,2360,8,338.98,Pequeno porte
MOEDA,4948,16,323.36,Pequeno porte
PINTÓPOLIS,7540,24,318.30,Pequeno porte
DORES DE GUANHÃES,5139,16,311.34,Pequeno porte
SANTA BÁRBARA DO TUGÚRIO,4385,13,296.47,Pequeno porte
POCRANE,8288,24,289.58,Pequeno porte
IMBÉ DE MINAS,6976,20,286.70,Pequeno porte
SÃO SEBASTIÃO DO ANTA,6697,19,283.71,Pequeno porte
PAINEIRAS,4440,12,270.27,Pequeno porte
DOM VIÇOSO,2992,8,267.38,Pequeno porte
JOSENÓPOLIS,4911,13,264.71,Pequeno porte
SILVEIRÂNIA,2267,6,264.67,Pequeno porte
RIO PARANAÍBA,12356,32,258.98,Pequeno porte
QUARTEL GERAL,3603,9,249.79,Pequeno porte
PASSA-VINTE,2024,5,247.04,Pequeno porte
GUARDA-MOR,6558,16,243.98,Pequeno porte
OLARIA,1694,4,236.13,Pequeno porte
CABECEIRA GRANDE,7025,16,227.76,Pequeno porte
SENADOR MODESTINO GONÇALVES,4056,9,221.89,Pequeno porte
MADRE DE DEUS DE MINAS,5119,11,214.89,Pequeno porte
CONCEIÇÃO DAS PEDRAS,2814,6,213.22,Pequeno porte
PAI PEDRO,6098,13,213.18,Pequeno porte
BARBACENA,139061,296,212.86,Grande porte
SÃO JOSÉ DO MANTIMENTO,2821,6,212.69,Pequeno porte
CONCEIÇÃO DO MATO DENTRO,17438,37,212.18,Pequeno porte
SANTANA DE CATAGUASES,3909,8,204.66,Pequeno porte
LEME DO PRADO,4923,10,203.13,Pequeno porte
JEQUITIBÁ,5203,10,192.20,Pequeno porte
POMPÉU,32248,61,189.16,Médio porte
SÃO GONÇALO DO RIO PRETO,3178,6,188.80,Pequeno porte
FARIA LEMOS,3202,6,187.38,Pequeno porte
SANTANA DOS MONTES,3753,7,186.52,Pequeno porte
ARAPORÃ,6992,13,185.93,Pequeno porte
CONSELHEIRO PENA,22975,42,182.81,Médio porte
ARANTINA,2779,5,179.92,Pequeno porte
SÃO FÉLIX DE MINAS,3354,6,178.89,Pequeno porte
CAMACHO,2839,5,176.12,Pequeno porte
CAREAÇU,6826,12,175.80,Pequeno porte
JEQUITAÍ,7407,13,175.51,Pequeno porte
ESTRELA DALVA,2308,4,173.31,Pequeno porte
ALFENAS,80973,140,172.90,Médio porte
MIRAÍ,15205,26,171.00,Pequeno porte
SERRANÓPOLIS DE MINAS,4836,8,165.43,Pequeno porte
CAIANA,5584,9,161.17,Pequeno porte
FUNILÂNDIA,4434,7,157.87,Pequeno porte
INIMUTABA,7605,12,157.79,Pequeno porte
IPABA,18926,29,153.23,Pequeno porte
INCONFIDENTES,7387,11,148.91,Pequeno porte
CÓRREGO NOVO,2688,4,148.81,Pequeno porte
GOIABEIRA,3402,5,146.97,Pequeno porte
RIO PIRACICABA,14325,21,146.60,Pequeno porte
LAMBARI,20995,30,142.89,Médio porte
CARAÍ,23872,34,142.43,Médio porte
DELFINÓPOLIS,7146,10,139.94,Pequeno porte
ITABIRINHA,11637,16,137.49,Pequeno porte
DONA EUSÉBIA,6664,9,135.05,Pequeno porte
GUARARÁ,3755,5,133.16,Pequeno porte
SANTO ANTÔNIO DO ITAMBÉ,3763,5,132.87,Pequeno porte
RESPLENDOR,17396,22,126.47,Pequeno porte
SERRA DOS AIMORÉS,8725,11,126.07,Pequeno porte
LASSANCE,6494,8,123.19,Pequeno porte
PEDRAS DE MARIA DA CRUZ,12313,15,121.82,Pequeno porte
FREI GASPAR,5858,7,119.49,Pequeno porte
ITATIAIUÇU,11354,13,114.50,Pequeno porte
PRESIDENTE BERNARDES,5315,6,112.89,Pequeno porte
CARVALHOS,4445,5,112.49,Pequeno porte
TRÊS PONTAS,57127,64,112.03,Médio porte
ITACAMBIRA,5447,6,110.15,Pequeno porte
GOUVEIA,11811,13,110.07,Pequeno porte
PEDRINÓPOLIS,3651,4,109.56,Pequeno porte
CATAS ALTAS DA NORUEGA,3665,4,109.14,Pequeno porte
INGAÍ,2785,3,107.72,Pequeno porte
PRESIDENTE OLEGÁRIO,19680,21,106.71,Pequeno porte
DIOGO DE VASCONCELOS,3779,4,105.85,Pequeno porte
DORES DO INDAIÁ,13373,14,104.69,Pequeno porte
SANTO ANTÔNIO DO JACINTO,11570,12,103.72,Pequeno porte
BONFIM,6852,7,102.16,Pequeno porte
RIO MANSO,5924,6,101.28,Pequeno porte
FRONTEIRA,18866,19,100.71,Pequeno porte
PRESIDENTE KUBITSCHEK,3000,3,100.00,Pequeno porte
SÃO SEBASTIÃO DA VARGEM ALEGRE,3039,3,98.72,Pequeno porte
SÃO JOÃO DAS MISSÕES,13232,13,98.25,Pequeno porte
COMENDADOR GOMES,3128,3,95.91,Pequeno porte
MIRABELA,13651,13,95.23,Pequeno porte
FRANCISCO DUMONT,5268,5,94.91,Pequeno porte
MARIA DA FÉ,14019,13,92.73,Pequeno porte
PALMA,6606,6,90.83,Pequeno porte
CANAÃ,4533,4,88.24,Pequeno porte
LARANJAL,6856,6,87.51,Pequeno porte
ITURAMA,40101,35,87.28,Médio porte
CORONEL XAVIER CHAVES,3448,3,87.01,Pequeno porte
SENHORA DO PORTO,3516,3,85.32,Pequeno porte
NATÉRCIA,4727,4,84.62,Pequeno porte
CARMO DO RIO CLARO,21310,18,84.47,Médio porte
MUNHOZ,5960,5,83.89,Pequeno porte
PADRE PARAÍSO,20346,17,83.55,Médio porte
BERIZAL,4792,4,83.47,Pequeno porte
BURITIS,25179,21,83.40,Médio porte
DOM BOSCO,3635,3,82.53,Pequeno porte
FREI INOCÊNCIO,9716,8,82.34,Pequeno porte
SÃO JOÃO DO ORIENTE,7393,6,81.16,Pequeno porte
SÃO SEBASTIÃO DO MARANHÃO,9884,8,80.94,Pequeno porte
ITAPEVA,9976,8,80.19,Pequeno porte
SÃO JOÃO BATISTA DO GLÓRIA,7541,6,79.57,Pequeno porte
PINGO-D ÁGUA,5029,4,79.54,Pequeno porte
PORTEIRINHA,37823,30,79.32,Médio porte
PEDRA DOURADA,2559,2,78.16,Pequeno porte
CÓRREGO FUNDO,6425,5,77.82,Pequeno porte
SANTO ANTÔNIO DO GRAMA,3861,3,77.70,Pequeno porte
TOCANTINS,16769,13,77.52,Pequeno porte
SENHORA DOS REMÉDIOS,10474,8,76.38,Pequeno porte
RIO DOCE,2630,2,76.05,Pequeno porte
CAMPINA VERDE,19759,15,75.91,Pequeno porte
CAETANÓPOLIS,11869,9,75.83,Pequeno porte
GOIANÁ,4014,3,74.74,Pequeno porte
MARMELÓPOLIS,2701,2,74.05,Pequeno porte
MARILAC,4079,3,73.55,Pequeno porte
CRISÓLITA,6814,5,73.38,Pequeno porte
SÃO GERALDO DO BAIXIO,4104,3,73.10,Pequeno porte
CONFINS,6867,5,72.81,Pequeno porte
GRUPIARA,1386,1,72.15,Pequeno porte
LAGOA FORMOSA,18168,13,71.55,Pequeno porte
CAMPESTRE,21052,15,71.25,Médio porte
OLÍMPIO NORONHA,2829,2,70.70,Pequeno porte
DESTERRO DO MELO,2867,2,69.76,Pequeno porte
CARMO DO PARANAÍBA,30339,21,69.22,Médio porte
