codigo_ibge,total_obitos_saneamento
110004,1
110010,2
110011,1
110012,1
110013,1
110020,5
110025,1
110030,2
110110,1
110155,1
120020,2
120025,1
120030,2
120032,1
120033,1
120034,3
120040,6
120043,4
120050,1
120060,1
130002,1
130006,1
130008,1
130010,1
130030,2
130040,1
130060,3
130063,1
130080,1
130083,1
130110,1
130140,3
130150,3
130160,2
130180,1
130185,3
130190,1
130200,2
130210,1
130230,1
130240,2
130250,2
130260,86
130290,2
130330,2
130340,1
130360,2
130370,1
130380,13
130390,5
130406,1
130430,1
130440,2
140002,5
140005,11
140010,4
140020,3
140040,2
140070,4
150010,1
150060,9
150080,12
150090,2
150100,1
150110,1
150120,1
150130,1
150140,41
150150,1
150170,1
150178,2
150180,3
150210,2
150220,1
150230,2
150240,3
150270,2
150276,2
150277,1
150290,2
150309,1
150330,2
150360,1
150375,1
150380,1
150405,1
150420,1
150440,2
150460,2
150470,1
150480,2
150490,1
150500,1
150503,1
150520,2
150530,2
150543,2
150550,1
150553,3
150570,1
150580,1
150590,1
150611,2
150613,1
150618,2
150620,1
150650,1
150655,1
150680,5
150710,1
150715,4
150740,1
150760,2
150775,1
150795,1
150800,2
150803,3
150810,2
150812,1
150815,1
150820,1
150830,1
160030,4
160050,2
160060,2
170200,1
170210,1
170255,1
170270,1
170550,1
170700,1
170825,1
170900,1
171190,2
171830,1
172100,3
172110,1
210000,1
210005,2
210010,1
210030,2
210060,1
210070,1
210087,1
210090,1
210095,1
210100,1
210120,2
210135,1
210140,1
210160,3
210173,1
210180,1
210203,2
210210,2
210232,2
210270,1
210300,12
210320,1
210330,2
210340,3
210350,2
210360,2
210408,1
210470,1
210480,3
210510,1
210515,1
210520,1
210530,6
210535,1
210540,2
210542,2
210547,1
210565,1
210570,1
210580,1
210600,1
210632,1
210663,1
210667,1
210690,2
210700,1
210745,1
210770,1
210820,3
210830,1
210845,1
210860,1
210870,1
210880,1
210910,1
210945,1
210950,1
210990,1
211020,1
211030,1
211050,1
211070,1
211107,1
211120,5
211130,14
211140,1
211150,1
211160,1
211180,1
211190,1
211200,1
211220,12
211223,1
211280,1
211300,2
220000,1
220020,1
220025,1
220030,1
220040,2
220155,1
220160,1
220191,1
220196,1
220202,1
220208,1
220210,1
220220,1
220230,2
220277,1
220290,1
220310,1
220370,1
220390,3
220430,1
220450,1
220500,1
220510,1
220550,1
220552,1
220555,1
220570,1
220580,2
220595,1
220620,1
220660,1
220695,1
220735,1
220770,4
220779,1
220785,1
220790,3
220800,5
220840,2
220850,2
220865,1
220965,1
221020,1
221037,1
221040,1
221060,3
221070,1
221100,40
221110,1
230010,1
230030,1
230050,2
230075,1
230100,1
230120,1
230160,1
230170,1
230190,4
230195,1
230210,2
230230,1
230240,2
230250,2
230280,1
230300,1
230340,3
230360,2
230370,12
230390,1
230395,1
230400,1
230420,4
230428,1
230430,1
230435,1
230440,72
230465,1
230490,2
230533,1
230550,3
230590,1
230630,1
230640,1
230650,1
230655,2
230670,1
230690,1
230710,1
230725,1
230730,6
230740,2
230760,2
230765,6
230780,2
230800,3
230830,2
230850,2
230870,3
230890,1
230900,1
230920,1
230960,2
230970,1
230990,1
231020,1
231025,2
231030,1
231040,1
231050,1
231070,2
231080,2
231140,4
231180,2
231190,1
231200,2
231210,1
231220,1
231240,1
231250,1
231270,2
231280,1
231290,12
231300,2
231320,2
231325,1
231340,5
231350,1
231360,2
231375,1
231390,2
231395,2
231400,3
240050,3
240080,1
240100,2
240120,2
240130,1
240200,8
240270,1
240310,2
240325,9
240500,1
240510,2
240540,1
240560,2
240570,4
240580,1
240610,4
240660,1
240680,1
240700,1
240710,2
240780,1
240800,1
240810,47
240820,1
240850,1
240890,1
240930,2
240940,1
241030,1
241080,1
241150,1
241180,1
241200,7
241210,1
241220,4
241250,1
241260,1
241270,1
241280,1
241310,1
241335,1
241390,1
241415,1
241440,1
241450,1
241460,1
250060,1
250070,1
250100,1
250110,1
250150,1
250180,3
250190,2
250210,1
250220,1
250320,1
250350,1
250370,1
250460,1
250490,1
250560,1
250600,1
250630,3
250640,2
250750,13
250890,1
251010,2
251080,2
251090,1
251120,2
251160,1
251207,3
251210,3
251230,1
251272,1
251335,1
251370,1
251390,1
251398,1
251450,1
251490,1
251530,3
251597,1
251630,1
251670,1
251690,3
260000,2
260005,4
260030,1
260050,1
260060,1
260070,1
260105,1
260120,3
260170,1
260180,2
260190,1
260220,2
260230,1
260260,1
260270,1
260280,1
260290,3
260345,4
260360,1
260390,1
260400,1
260410,14
260440,3
260450,1
260510,1
260515,1
260530,1
260560,1
260590,1
260600,9
260640,2
260650,1
260680,1
260730,1
260765,1
260790,16
260800,2
260810,1
260825,1
260830,1
260850,1
260875,1
260890,3
260910,1
260915,1
260920,1
260930,1
260940,2
260950,2
260960,13
260990,2
261000,1
261050,1
261070,8
261080,1
261090,1
261100,1
261110,4
261130,1
261150,1
261160,67
261180,1
261190,2
261220,5
261245,1
261250,1
261255,2
261300,3
261310,1
261330,1
261340,1
261350,1
261360,1
261370,3
261390,3
261400,1
261410,2
261420,1
261450,4
261460,1
261470,1
261480,2
261485,2
261500,1
261530,1
261540,1
261550,1
261560,3
261570,1
261610,2
261630,1
261640,3
261650,1
270010,1
270030,8
270040,3
270080,1
270170,1
270180,1
270230,1
270240,2
270250,1
270260,1
270290,1
270310,1
270320,1
270380,1
270420,2
270430,28
270440,1
270470,2
270600,1
270630,3
270710,1
270730,2
270740,1
270770,3
270800,2
270830,2
270840,1
270850,1
270880,2
270890,1
270900,1
270915,2
270920,1
270930,3
270940,2
280020,1
280030,13
280060,1
280067,3
280100,2
280130,2
280140,1
280160,2
280210,5
280230,1
280280,1
280290,1
280300,3
280340,1
280350,4
280380,1
280450,2
280460,1
280470,2
280480,4
280550,1
280570,2
280580,1
280590,1
280620,1
280630,1
280640,2
280670,3
280680,1
280710,3
280740,2
290000,1
290035,1
290050,1
290070,4
290120,1
290205,1
290210,2
290260,1
290280,2
290290,2
290300,2
290320,3
290323,3
290327,1
290340,1
290390,2
290430,1
290450,1
290475,2
290530,2
290570,4
290590,1
290600,1
290620,3
290670,1
290682,1
