-,-,-,-,-,-,-,-,habitante,habitante,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,habitante,1.000 m³/ano,1.000 m³/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano
cod_munip,nome_munip,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,"amostra_turbidez_irregular",amostra_coliformes,amostra_coliformes_irregular
310010,Abadia dos Dourados,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,7.022,4.011,"359,29",0,"359,29","359,29",,,,402,0,399,0,156,0
310020,Abaeté,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos,23.263,19.694,"1.639,78","1.639,78",0,"1.639,78",2.134,"90,98",0,4.256,28,4.260,3,645,0
310030,Abre Campo,31003011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto,13.434,9.356,684,684,0,0,9.356,"205,2",0,4.022,26,4.022,120,480,2
310040,Acaiaca,31004011,Prefeitura Municipal de Acaiaca,PMA,Local,Administração pública direta,Água e Esgoto,3.995,3.920,"1.587,00",161,161,0,2.553,190,0,4.440,17,708,171,0,0
310050,Açucena,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,9.270,3.370,"217,07","96,59","120,48","217,07",,,,3.790,2,3.754,0,234,1
310060,Água Boa,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,13.319,4.694,"342,26","342,26",0,"342,26",,,,552,0,550,0,186,1
310080,Água Comprida,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,1.986,1.514,"153,25",0,"153,25","153,25",,,,449,3,213,0,111,0
310090,Aguanil,31008011,Prefeitura Municipal de Águanil,PMA,Local,Administração pública direta,Água e Esgoto,4.557,2.900,"351,63","157,68","192,95","157,68",2.650,120,0,6.205,0,6.205,0,648,0
310100,Águas Formosas,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água,19.285,13.943,"787,11","787,11",0,"787,11",,,,3.646,0,3.634,0,296,0
