co_ibge,internacoes_amebiase,internacoes_colera,internacoes_diarreia_provavel_infec,internacoes_esquistossomose,internacoes_febre_tifoide,internacoes_helmintiases,internacoes_leptospiroses,total_mortes_baixo_saneamento
310010,0,0,0,0,0,0,0,0
310020,0,0,5,0,0,0,0,0
310030,0,0,55,0,0,0,0,0
310040,0,0,0,0,0,0,0,0
310050,0,0,0,0,0,0,0,0
310060,0,0,1,0,0,0,0,0
310070,0,0,0,0,0,0,0,0
310080,0,0,0,0,0,0,0,0
310090,0,0,250,0,0,0,0,1
310100,0,0,12,0,0,0,0,1
310110,0,0,5,1,0,0,0,0
310120,0,0,0,0,0,0,0,0
310130,0,0,2,0,0,0,0,0
310140,0,0,1,0,0,0,0,0
310150,0,0,16,0,0,0,0,1
310160,1,0,0,0,0,0,0,1
310163,0,0,0,0,0,0,0,0
310170,1,0,139,0,0,0,0,1
310180,0,0,0,0,0,0,0,0
310190,0,0,10,0,0,0,0,1
310200,0,0,3,0,0,0,0,2
310205,0,0,0,0,0,0,0,0
310210,0,0,2,0,0,0,0,1
310220,0,0,0,0,0,0,0,0
310230,0,0,4,0,0,0,0,0
310240,0,0,1,0,0,0,0,0
310250,0,0,1,0,0,0,0,0
310260,0,0,3,0,0,0,1,1
310270,0,0,21,0,0,0,0,0
310280,0,0,0,0,0,0,0,0
310285,0,0,1,0,0,0,0,0
310290,0,0,2,0,0,0,0,0
310300,0,0,0,0,0,0,0,0
310310,0,0,0,0,0,0,0,0
310320,0,0,1,0,0,0,0,0
310330,0,0,0,0,0,0,0,0
310340,0,0,16,0,0,1,0,0
310350,0,1,6,0,1,0,0,2
310360,0,0,0,0,0,0,0,0
310370,0,0,3,0,0,0,0,1
310375,0,0,2,0,0,0,0,0
310380,0,0,0,0,0,0,0,0
310390,0,0,0,0,0,0,0,0
310400,0,0,5,0,0,0,0,1
310410,0,0,0,0,0,0,0,0
310420,0,0,13,0,0,0,0,0
310430,0,0,1,0,0,0,0,0
310440,0,0,1,0,0,0,0,0
310445,0,0,0,0,0,0,0,0
310450,1,0,6,0,0,0,0,0
310460,0,0,5,1,0,0,0,0
310470,0,0,1,0,0,0,0,0
310480,0,0,0,0,0,0,0,0
310490,0,0,6,0,0,0,0,0
310500,0,0,1,0,0,0,0,0
310510,0,0,7,0,0,1,0,0
310520,0,0,2,0,0,0,0,0
310530,0,0,0,0,0,0,0,0
310540,0,0,4,0,0,0,0,0
310550,0,0,0,0,0,0,0,0
310560,0,0,7,0,0,2,0,0
310570,0,0,0,0,0,0,0,0
310590,0,0,3,0,0,0,0,1
310600,0,0,0,0,0,0,0,0
310610,0,0,0,0,0,0,0,0
310620,1,0,281,2,0,4,8,40
310630,0,0,13,0,0,1,0,1
310640,0,0,1,0,0,0,0,0
310650,0,0,7,0,0,0,0,0
310660,0,0,71,0,0,0,0,0
310665,0,0,0,0,0,0,0,0
310670,0,0,34,0,0,0,1,3
310680,0,0,0,0,0,0,0,0
310690,0,0,3,0,0,0,0,0
310700,0,0,0,0,0,0,0,0
310710,0,0,4,0,0,0,0,1
310720,0,0,1,0,0,0,0,0
310730,1,0,6,0,0,0,0,0
310740,0,0,1,0,0,0,0,2
310750,0,0,0,0,0,0,0,0
310760,0,0,1,0,0,0,0,0
310770,0,0,0,0,0,0,0,0
310780,0,0,0,0,0,0,0,0
310790,0,0,0,0,0,0,0,0
310800,0,0,0,0,0,0,0,0
310810,0,0,1,0,0,0,0,0
310820,0,0,0,0,0,0,0,0
310825,0,0,0,0,0,0,0,0
310830,0,0,0,0,0,0,0,0
310840,0,0,0,0,0,0,0,0
310850,0,0,0,0,0,0,0,0
310855,0,0,1,0,0,0,0,0
310860,1,0,3,1,0,0,0,0
310870,0,0,7,0,0,0,0,1
310880,0,0,1,0,0,0,0,0
310890,0,0,1,0,0,0,1,0
310900,0,0,1,0,0,0,0,1
310910,0,0,2,0,0,0,0,0
310920,0,0,1,0,0,0,0,1
310925,0,0,0,0,0,0,0,0
310930,0,0,1,0,0,1,0,0
310940,0,0,1,0,0,0,0,1
310945,0,0,0,0,0,0,0,0
310950,0,0,5,0,0,0,0,0
310960,0,0,0,0,0,0,0,0
310970,0,0,0,0,0,0,0,0
310980,0,0,0,0,0,0,0,0
310990,0,0,16,0,0,0,0,0
311000,0,0,4,0,0,0,0,0
311010,0,0,2,0,0,0,0,1
311020,0,0,1,0,0,0,0,0
311030,0,0,3,0,0,0,0,1
311040,0,0,0,0,0,0,0,0
311050,1,0,8,0,0,0,0,0
311060,0,0,13,0,0,0,0,0
311070,0,0,9,0,0,0,0,1
311080,0,0,2,0,0,0,0,0
311090,0,0,0,0,0,0,0,0
311100,0,0,4,0,0,0,1,2
311110,0,0,7,0,0,0,0,0
311115,0,0,0,0,0,0,0,0
311120,0,0,0,0,0,0,0,0
311130,0,0,1,0,0,0,0,0
311140,0,0,0,0,0,0,0,0
311150,0,0,15,0,0,0,0,0
311160,0,0,15,0,0,0,0,1
311170,0,0,1,0,0,0,0,0
311180,0,0,0,0,0,0,0,0
311190,0,0,0,0,0,0,0,0
311200,0,0,0,0,0,0,0,0
311205,0,0,2,0,0,0,0,0
311210,0,0,4,0,0,0,0,0
311220,0,0,0,0,0,0,0,0
311230,0,0,3,0,0,1,0,1
311240,0,0,1,0,0,0,0,0
311250,0,0,0,0,0,0,0,0
311260,0,0,3,0,0,0,0,0
311265,0,0,0,0,0,0,0,0
311270,0,0,0,0,0,0,0,0
311280,0,0,3,0,0,0,0,0
311290,0,0,0,0,0,0,0,0
311300,0,0,3,0,0,0,0,0
311310,0,0,0,0,0,0,0,0
311320,0,0,1,0,0,0,1,1
311330,0,0,25,0,0,0,0,0
311340,0,0,7,0,0,0,0,1
311350,0,0,1,0,0,0,0,1
311360,0,0,0,0,0,0,0,0
311370,0,0,34,0,0,0,0,0
311380,0,0,0,0,0,0,0,0
311390,0,0,4,0,0,0,0,0
311400,0,0,0,0,0,0,0,0
311410,0,0,0,0,0,0,0,0
311420,0,0,0,0,0,0,0,0
311430,1,0,20,0,0,0,0,0
311440,0,0,12,0,0,0,0,0
311450,0,0,3,0,0,0,1,0
311455,0,0,0,0,0,0,0,0
311460,0,0,0,0,0,0,0,0
311470,0,0,1,0,0,0,0,0
311480,0,0,0,0,0,1,0,0
311490,0,0,1,0,0,0,0,0
311500,0,0,1,0,0,0,0,0
311510,0,0,21,0,0,0,0,0
311520,0,0,2,0,0,0,0,0
311530,0,0,17,0,0,0,1,3
311535,0,0,0,0,0,0,0,0
311540,0,0,2,0,0,0,0,0
311545,0,0,0,0,0,0,0,0
311547,0,0,1,0,0,0,0,0
311550,0,0,5,0,0,0,0,0
311560,0,0,1,0,0,0,0,0
311570,0,0,1,0,0,0,0,0
311580,0,0,1,0,0,0,0,0
311590,0,0,1,0,0,0,0,0
311600,0,0,1,0,0,0,0,0
311610,0,0,4,0,0,0,0,0
311615,0,0,0,0,0,0,0,0
311620,0,0,1,0,0,0,0,0
311630,0,0,0,0,0,0,0,0
311640,0,0,0,0,0,0,0,0
311650,0,0,0,0,0,0,0,0
311660,0,0,1,0,0,0,1,0
311670,0,0,2,0,0,0,0,0
311680,0,0,0,0,0,0,0,0
311690,0,0,0,0,0,0,0,0
311700,0,0,1,1,0,0,0,0
311710,0,0,2,0,0,0,0,2
311720,0,0,0,0,0,0,0,0
311730,0,0,0,0,0,0,0,0
311740,0,0,0,0,0,0,0,0
311750,1,1,1,0,0,0,0,1
311760,0,0,0,0,0,0,0,0
311770,0,0,3,0,0,0,0,0
311780,0,0,0,0,0,0,0,0
311783,0,0,0,1,0,0,0,0
311787,0,0,0,0,0,0,0,0
311790,0,0,0,0,0,0,0,0
311800,0,0,5,0,0,1,0,1
311810,0,0,0,0,0,0,0,0
311820,0,0,0,0,0,0,0,0
311830,0,0,37,0,0,0,0,1
311840,0,0,20,0,0,1,0,0
311850,0,0,1,0,0,0,0,0
311860,1,0,50,2,0,0,6,4
311870,0,0,0,0,0,0,0,0
311880,0,0,5,0,0,0,0,0
311890,0,0,0,0,0,0,0,0
311900,0,0,1,0,0,0,0,0
311910,0,0,0,0,0,0,0,0
311920,0,0,0,0,0,0,0,0
311930,0,0,40,0,1,0,1,0
311940,0,0,7,0,0,0,0,4
311950,0,0,1,0,0,0,0,0
311960,0,0,0,0,0,0,0,0
311970,0,0,4,0,0,0,0,0
311980,0,1,2,0,0,0,0,0
311990,0,0,1,0,0,0,0,0
311995,0,0,0,0,0,0,0,0
312000,0,0,0,0,0,0,0,0
312010,0,0,0,0,0,0,0,0
312015,0,0,48,0,0,0,0,0
312020,0,0,0,0,0,0,0,0
312030,0,0,5,0,0,0,0,0
312040,0,0,1,0,0,0,0,0
312050,0,0,3,0,0,0,0,0
312060,0,0,1,0,0,0,0,0
312070,0,0,0,0,0,0,0,0
312080,0,0,5,0,0,0,0,0
312083,0,0,4,0,0,0,0,0
312087,0,0,0,0,0,0,0,0
312090,0,0,5,0,0,0,0,4
312100,0,0,1,0,0,0,0,0
312110,0,0,0,0,0,0,0,0
312120,0,0,1,0,0,0,0,0
312125,0,0,0,0,0,0,0,0
312130,0,0,0,0,0,0,0,0
312140,0,0,0,0,0,0,0,0
312150,0,0,0,0,0,0,0,0
312160,0,0,2,0,0,0,0,2
312170,0,0,0,0,0,0,0,0
312180,0,0,1,0,0,0,0,0
312190,0,0,1,0,0,0,0,0
312200,0,0,7,0,0,0,0,0
312210,0,0,2,0,0,0,0,0
312220,0,0,10,0,0,0,0,0
312230,0,0,1,0,0,0,0,1
312235,0,0,3,0,0,0,0,0
312240,0,0,0,0,0,0,0,0
312245,0,0,2,0,0,0,0,0
312247,0,0,0,0,0,0,0,0
312250,0,0,1,0,0,1,0,0
312260,0,0,4,0,0,0,0,0
312270,0,0,1,0,0,0,0,0
312280,0,0,0,0,0,0,0,0
312290,0,0,1,0,0,0,0,0
312300,0,0,0,0,0,0,0,0
312310,0,0,2,0,0,0,0,0
312320,1,1,4,0,0,0,0,1
312330,0,0,3,0,0,0,0,0
312340,0,0,3,0,0,0,0,0
312350,0,0,2,0,0,0,0,0
312352,0,0,0,0,0,0,0,0
312360,0,0,3,0,0,0,0,0
312370,0,0,0,0,0,0,0,0
312380,0,0,2,0,0,0,0,0
312385,0,0,3,0,0,0,0,1
312390,0,0,7,0,0,0,1,0
312400,0,0,9,0,0,0,0,0
312410,0,0,6,0,0,0,0,0
312420,0,0,15,0,0,0,1,3
312430,0,0,14,0,0,0,0,0
312440,0,0,0,0,0,0,0,0
312450,0,0,0,0,0,0,1,0
312460,0,0,0,0,0,0,0,0
312470,0,0,0,0,0,0,0,0
312480,0,0,2,0,0,0,0,0
312490,0,0,0,0,0,0,0,0
312500,0,0,0,0,0,0,0,0
312510,0,0,1,0,0,0,0,0
312520,0,0,0,0,0,0,0,0
312530,0,0,1,0,0,0,0,0
312540,0,0,0,0,0,0,0,0
312550,0,0,0,0,0,0,0,0
312560,0,0,10,0,0,0,0,1
312570,0,0,0,0,0,0,0,0
312580,0,0,0,0,0,0,0,0
312590,0,0,2,0,0,0,0,0
312595,0,0,4,0,0,0,0,0
312600,0,0,0,1,0,0,0,1
312610,0,0,2,0,0,0,0,1
312620,0,0,0,0,0,0,0,0
312630,0,0,2,0,0,0,0,0
312640,0,0,0,0,0,0,0,0
312650,0,0,0,0,0,0,0,0
312660,0,0,0,0,0,0,0,0
312670,1,0,5,0,0,0,0,1
312675,0,0,3,0,0,0,0,0
312680,0,0,0,0,0,0,0,0
312690,0,0,0,0,0,0,0,0
312695,0,0,2,0,0,0,0,0
312700,0,0,1,0,0,0,0,0
312705,0,0,38,0,0,0,0,1
312707,0,0,0,0,0,0,0,0
312710,1,0,8,0,0,0,0,2
312720,0,0,0,0,0,0,0,0
312730,0,0,1,0,0,0,0,0
312733,0,0,1,0,0,1,0,0
312735,0,0,1,0,0,0,0,0
312737,0,0,5,0,0,0,0,0
312738,0,0,1,0,0,0,0,0
312740,0,0,0,0,0,0,0,0
312750,0,0,7,0,0,0,0,0
312760,0,0,8,0,0,0,0,0
312770,0,3,13,1,0,2,0,3
312780,0,0,16,0,0,0,0,0
312790,0,0,0,0,0,0,0,0
312800,0,0,8,0,0,0,0,0
312810,0,0,7,0,0,0,0,1
312820,0,0,0,0,0,0,0,0
312825,0,0,1,0,0,0,0,0
312830,0,0,5,0,0,0,0,2
312840,0,0,3,0,0,0,0,0
312850,0,0,1,0,0,0,0,0
312860,0,0,0,0,0,0,0,0
312870,0,0,13,0,0,0,0,1
312880,0,0,4,0,0,0,0,0
312890,0,0,0,0,0,0,0,0
312900,0,0,7,0,0,0,0,0
312910,0,0,1,0,0,0,0,0
312920,0,0,0,0,0,0,0,0
312930,0,0,1,0,0,0,0,0
312940,0,0,2,0,0,0,0,0
312950,0,0,2,0,0,0,0,0
312960,1,0,1,0,0,0,0,0
312965,0,0,0,0,0,0,0,0
312970,0,0,5,0,0,0,0,1
312980,1,0,14,0,0,0,1,0
312990,0,0,0,0,0,0,0,0
313000,0,0,0,0,0,0,1,0
313005,0,0,0,0,0,0,0,0
313010,0,0,0,0,0,0,0,0
313020,0,0,0,0,0,0,0,0
313030,0,0,1,0,0,0,0,0
313040,0,1,0,0,0,0,0,0
313050,0,0,2,0,0,0,0,0
313055,0,0,0,0,0,0,0,0
313060,0,0,1,0,0,0,0,0
313065,0,0,0,0,0,0,0,0
313070,0,0,0,0,0,0,0,0
313080,0,1,0,0,0,0,0,0
313090,0,0,2,0,0,0,0,0
313100,0,0,0,0,0,0,0,0
313110,0,0,0,0,0,0,0,0
313115,0,0,2,0,0,0,0,1
313120,0,0,5,0,0,0,0,0
313130,0,0,57,0,0,0,0,2
313140,0,0,1,0,0,0,0,0
313150,0,0,0,0,0,0,0,0
313160,0,0,1,0,0,0,0,0
313170,1,0,18,0,0,0,1,3
313180,0,0,11,0,0,0,0,0
313190,0,0,3,0,0,0,0,2
313200,0,0,0,0,0,0,0,0
313210,0,0,3,0,0,0,0,0
313220,0,0,3,0,0,0,0,0
313230,0,1,3,0,0,0,0,1
313240,0,0,11,0,0,0,1,3
313250,0,0,28,0,0,1,0,1
313260,0,0,1,0,0,0,0,1
313270,0,0,15,1,0,0,0,1
313280,0,0,1,0,0,0,0,0
313290,0,0,0,0,0,0,0,0
313300,0,0,0,0,0,0,0,0
313310,0,0,1,0,0,0,0,0
313320,0,0,16,0,0,0,0,0
313330,0,0,1,0,0,0,0,0
313340,0,0,0,0,0,0,0,0
313350,0,0,6,0,0,0,0,0
313360,0,0,0,0,0,0,0,0
313370,0,0,0,0,0,0,0,0
313375,0,1,6,0,0,0,0,1
313380,0,0,14,0,0,0,0,1
313390,0,0,1,0,0,0,0,0
313400,0,0,1,0,0,0,0,0
313410,0,0,18,0,0,0,0,0
313420,0,0,104,0,0,0,0,2
313430,0,0,0,0,0,0,0,0
313440,0,0,2,0,0,0,0,4
313450,0,0,0,0,0,0,0,0
313460,0,0,6,0,0,0,0,0
313470,0,0,2,0,0,0,0,1
313480,0,0,0,0,0,0,0,0
313490,0,0,1,0,0,0,0,3
313500,0,0,1,0,0,0,0,0
313505,1,0,9,0,0,0,0,0
313507,0,0,2,0,0,0,0,0
313510,1,0,7,0,0,0,0,0
313520,0,0,12,0,0,1,0,2
313530,0,0,1,0,0,0,0,0
313535,0,0,1,0,0,0,0,0
313540,0,0,2,0,0,0,0,0
313545,0,0,3,0,0,0,0,0
313550,0,0,1,1,0,0,0,0
313560,0,0,0,0,0,0,0,0
313570,0,0,1,0,0,0,0,0
313580,0,0,35,0,0,0,0,3
313590,0,0,0,0,0,0,0,0
313600,0,0,9,0,0,0,0,1
313610,0,0,0,0,0,0,0,0
313620,1,0,6,0,0,0,0,0
313630,0,0,4,0,0,0,0,2
313640,0,0,0,0,0,0,0,0
313650,0,0,3,0,0,0,0,0
313652,0,0,0,0,0,0,0,0
313655,0,0,13,0,0,0,0,1
313657,0,0,3,0,0,0,0,0
313660,0,0,1,0,0,0,0,0
313665,0,0,0,0,0,0,0,0
313670,0,0,24,0,0,3,3,5
313680,0,0,0,0,0,0,0,0
313690,0,0,0,0,0,0,0,0
313695,0,0,13,0,0,0,0,0
313700,0,0,10,0,0,0,0,0
313710,0,0,0,0,0,0,0,0
313720,0,0,1,0,0,0,0,0
313730,0,0,0,0,0,0,0,0
313740,0,0,2,0,0,0,0,0
313750,0,0,4,0,0,0,0,1
313753,0,0,1,0,0,0,0,0
313760,0,0,7,0,0,0,0,0
313770,0,0,6,0,0,0,1,0
313780,0,0,2,0,0,0,0,0
313790,0,0,0,0,0,0,0,0
313800,0,0,0,0,0,0,0,0
313810,0,0,1,0,0,0,0,1
313820,0,10,3,0,0,0,0,2
313830,0,0,0,0,0,0,0,0
313835,0,0,0,0,0,0,0,0
313840,0,0,17,0,0,0,1,0
313850,0,0,0,0,0,0,0,0
313860,0,0,0,0,0,0,1,0
313862,0,0,1,0,0,0,0,0
313865,0,0,2,0,0,0,0,1
313867,0,0,1,0,0,0,0,1
313868,0,0,1,0,0,0,0,1
313870,0,0,0,0,0,0,0,0
313880,0,0,13,0,0,0,0,0
313890,0,0,37,0,0,0,0,1
313900,0,0,4,0,0,0,0,2
313910,0,0,0,0,0,0,0,0
313920,0,0,29,0,0,1,0,0
313925,0,0,2,0,0,0,0,0
313930,0,0,6,0,0,0,0,0
313940,0,0,8,0,0,0,0,0
313950,0,0,2,0,0,0,0,0
313960,0,0,73,1,0,0,0,0
313970,0,0,0,0,0,0,0,0
313980,0,0,9,0,1,0,0,0
313990,0,0,0,0,0,0,0,0
314000,0,0,9,0,0,0,0,2
314010,0,0,0,0,0,0,0,0
314015,0,0,1,0,0,0,0,0
314020,0,0,0,0,0,0,0,0
