MUNICÍPIOS,,,,PRESTADOR DE SERVIÇOS,,,,,INFORMAÇÕES GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFORMAÇÕES FINANCEIRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFORMAÇÕES OPERACIONAIS - ÁGUA,,,,,,,,,,,,,,,,,,,,,,,,INFORMAÇÕES OPERACIONAIS - ESGOTOS,,,,,,,,,,,,,,,INFORMAÇÕES SOBRE QUALIDADE,,,,,,,,,,,,,,,,,,,,,INFORMAÇÕES SOBRE BALANÇO CONTÁBIL,,,,,,,,,,,,INFORMAÇÕES SOBRE TARIFA MÍNIMA,,,,,,,,,,,,,,INFORMAÇÕES SOBRE TARIFA SOCIAL,,,,,,,,,,,,,,,,,,,,PESQUISA SIMPLIFICADA DE ÁGUA,,,,,,,,,,,,,,,,,,,,,,PESQUISA SIMPLIFICADA DE ESGOTOS,,,,,,,,,,,,,,,,,,
Código do município,Município,UF,Código da região,Código do prestador de serviços,Nome do prestador de serviços,Sigla,Abrangência,Natureza jurídica do prestador de serviços,Tipo de serviço,Quantidade de municípios atendidos,ATENDIMENTO COM ÁGUA,,,,SITUAÇÃO DA DELEGAÇÃO - ÁGUA,,,,,,,ATENDIMENTO COM ESGOTOS,,,,SITUAÇÃO DA DELEGAÇÃO - ESGOTO,,,,,,,POPULAÇÃO RESIDENTE,,,,Quantidade total de empregados próprios,RECEITAS OPERACIONAIS,,,,,,,Arrecadação total,Crédito de contas a receber,DESPESAS TOTAIS COM OS SERVIÇOS (DTS),,,,,,,,,,,,,,,,Serviço da dívida - Parcela 2 de 2 - Amortização,Totais serviço da dívida,INVESTIMENTOS CONTRATADOS PELO PRESTADOR DE SERVIÇOS,,,,,,,,INVESTIMENTOS CONTRATADOS PELA PREFEITURA MUNICIPAL,,,,,,,,INVESTIMENTOS CONTRATADOS PELO GOVERNO DO ESTADO,,,,,,,,POPULAÇÃO ATENDIDA,,QUANTIDADES DE LIGAÇÕES,,,QUANTIDADES DE ECONOMIAS ATIVAS,,,,VOLUMES DE ÁGUA,,,,,,,,,,,,,Extensão da rede,Consumo total de energia elétrica,POPULAÇÃO ATENDIDA,,QUANTIDADES DE LIGAÇÕES,,QUANTIDADE DE ECONOMIAS ATIVAS,,VOLUMES DE ESGOTO,,,,,,,Extensão da rede de esgoto,Consumo total de energia elétrica,Atendimento da portaria sobre qualidade da Água,PARALISAÇÕES EM SISTEMAS DE ÁGUA,,,INTERMITÊNCIAS EM SISTEMAS DE ÁGUA,,,AMOSTRAS PARA ANÁLISE CLORO RESIDUAL,,,AMOSTRAS PARA ANÁLISE TURBIDEZ,,,AMOSTRAS PARA ANÁLISE COLIFORMES TOTAIS,,,EXTRAVASAMENTOS DE ESGOTO,,RECLAMAÇÕES E SERVIÇOS EXECUTADOS,,,Ativo circulante,Ativo total,Exigível a longo prazo,Lucro líquido com depreciação,Passivo circulante,Patrimônio líquido,Receita operacional,Resultado de exercícios futuros,Resultado operacional com depreciação,Realizável a longo prazo,Lucro líquido sem depreciação,Resultado operacional sem depreciação,Ocorrência de cobrança de tarifa mínima,Ocorrência de tarifa mínima diferenciada para econ. resid. microm. e não microm.,PRESTADORES COM DISCRIMINAÇÃO ENTRE ECONOMIAS RESIDENCIAIS MICROMEDIDAS E NÃO MICROMEDIDAS,,,,,,,,PRESTADORES SEM DISCRIMINAÇÃO ENTRE ECONOMIAS RESIDENCIAIS MICROMEDIDAS E NÃO MICROMEDIDAS,,,,Ocorrência de cobrança de tarifa social,"Ocorrência de regulamentação da tarifa social por lei, decreto, resolução ou outro instrumento formal","Tipo, número e ano da regulamentação da tarifa social adotada",Valor médio da tarifa social usada para as economias residenciais,Qtde. de  economias resid. contempladas com a tarifa social,CRITÉRIOS PARA CONCESSÃO DA TARIFA,,,,,,,,,,,,,,,Carro pipa,"Chafariz, bica ou mina",Cisterna,Açude,Poço raso,Poço profundo,Outro água, Principal forma alternativa de abastecimento de água,Porcentagem de pessoas atendidas pelo sistema alterantivo principal de água,Reclamações quanto a falta de água,Responsável pelo sistema alternativo de água – prefeitura,Responsável pelo sistema alternativo de água - cada indivíduo,Responsável pelo sistema alternativo de água - associação de moradores,Responsável pelo sistema alternativo de água – privado,Responsável pelo sistema alternativo de água – outro,Especifique outro responsável pelo sistema alternantivo de água,Cobrança pela água fornecida, Tratamento da água fornecida,Análise feitas da água fornecida,Pessoal ocupado nos sistemas alternativos de água,Melhorias executadas nos sistemas alternativos de água,Especifique as melhorias nos sistemas alternativos de água, Fossas sépticas / sumidouros,Fossas rudimentares,Valas a céu aberto, Lançamento em cursos d'água,Galerias de águas pluviais,Outro esgotos, Principal forma alternativa pra disposição de esgotos gerados,Porcentagem de pessoas atendidas pelo sistema alterantivo principal de esgoto, Reclamações sobre os sistemas alternativos de esgoto,Responsável pelo sistema alternativo de esgotos – prefeitura,Responsável pelo sistema alternativo de esgotos - cada indivíduo,Responsável pelo sistema alternativo de esgotos - associação de moradores,Responsável pelo sistema alternativo de esgotos – privado,Responsável pelo sistema alternativo de esgoto – outro,Especifique outro responsável pelo sistema alternativo de esgoto,Cobrança pelos serviços de esgotos alternativos,Pessoal ocupado nos sistemas alternativos de esgoto,Melhorias executadas nos sistemas alternativos de esgoto,Especifique as melhorias nos sistemas alternativos de esgoto
,,,,,,,,,,,Quantidade de municípios atendidos com abastecimento de água,Aonde atende com abastecimento de água,Quantidade de sedes municipais atendidas com abastecimento de água,Quantidade localidades atendidas com abastecimento de água,MUNICÍPIOS ATENDIDOS,,,MUNICÍPIOS NÃO ATENDIDOS,,,Ano de vencimento da delegação,Quantidade de municípios atendidos com esgotamento sanitário,Aonde atende com esgotamento sanitário,Quantidade de sedes municipais atendidas com esgotamento sanitário,Quantidade de localidades atendidas com esgotamento sanitário,MUNICÍPIOS ATENDIDOS,,,MUNICÍPIOS NÃO ATENDIDOS,,,Ano de vencimento da delegação,MUNICÍPIOS ATENDIDOS COM ÁGUA,,MUNICÍPIOS ATENDIDOS COM ESGOTOS,,,Total (direta + indireta),DIRETA,,,,,Indireta,,,Total (DTS),DESPESAS DE EXPLORACÃO (DEX),,,,,,,,,SERVIÇO DA DÍVIDA - PARCELA 1 DE 2,,,"Depreciação, amortização e provisão",Fiscais ou tributárias não incidentes na DEX,Outras despesas,,,SEGUNDO O DESTINO,,,,SEGUNDO A ORIGEM,,,Total,SEGUNDO O DESTINO,,,,SEGUNDO A ORIGEM,,,Total,SEGUNDO O DESTINO,,,,SEGUNDO A ORIGEM,,,Total,População total atendida com abastecimento de água,População urbana atendida com abastecimento de água,Total (ativas + inativas),Ativas,Ativas micromedidas,Total (ativas),Micromedidas,Residenciais,Residencias micromedidas,Produzido,Macromedido,De serviço,Tratada importado,Bruta exportado,Tratada exportado,Tratado em ETA(s),Tratada por simples desinfecção,Fluoretada,Micromedido,Consumido,Faturado,Micromedido nas economias residenciais ativas,,,População total atendida com esgotamento sanitário,População urbana atendida com esgotamento sanitário,Total (ativas + inativas),Ativas,Total   (ativas),Residenciais,Coletado,Tratado,Bruto exportado,Bruto exportado tratado nas instalações do importador,Bruto importado,Bruto importado tratado nas instalações do importador,Faturado,,,,Paralisações,Duração,Economias ativas atingidas,Interrupções,Duração,Economias ativas atingidas,Obrigatórias,Analisadas,Resultados fora do padrão,Obrigatórias,Analisadas,Resultados fora do padrão,Obrigatórias,Analisadas,Resultados fora do padrão,Extravasamentos,Duração,Reclamações ou solicitações de serviços,Serviços executados,Tempo total de execução dos serviços,,,,,,,,,,,,,,,COM MICROMEDIÇÃO,,,,SEM MICROMEDIÇÃO,,,,,,,,,,,,,Consumir um volume máximo pré-determinado pelo prestador,Descontos oferecidos via tarifa social variam em funcao da faixa de consumo,Volume mensal mínimo de água consumida para o qual se oferece desconto em relação à tarifa normal,Volume mensal máximo de água consumida para o qual se oferece desconto em relação à tarifa normal,"Caract. construtivas do domicílio (material, num. cômodos ou metragem, outros)",Descontos oferecidos via tarifa social variam em função das carac. construtivas,Domicílio deve estar localizado em locais de baixa renda,Descontos oferecidos via tarifa social variam em função da localiz. da domicílio,Usuário deve estar inscrito no Cadastro Único para programas sociais - CadÚnico,Usuário deve ser beneficiário do Bolsa Família,Usuário deve estar inscrito em programas sociais,Usuário deve comprovar rendimento junto ao prestador de serviços,Usuário deve possuir ligação de energia elétrica monofásica,Outros critérios,Especifique outros critérios de conceder o benefício (caso TR031 seja Sim),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Com delegação em vigor,Com delegação vencida,Sem delegação,Com delegação em vigor,Com delegação vencida,Sem delegação,,,,,,Com delegação em vigor,Com delegação vencida,Sem delegação,Com delegação em vigor,Com delegação vencida,Sem delegação,,"População residente total, segundo o IBGE",População residente urbana,"População residente total, segundo o IBGE",População residente urbana,,,Total,Água,Esgoto,Água Exportada,Esgoto bruto importado,,,,,Total (DEX),Pessoal próprio,Produtos químicos,Energia elétrica,Serviços de terceiros,Água importada (bruta ou tratada),Esgoto bruto exportado,Fiscais ou tributárias computadas na DEX,Outras despesas de exploração,Juros e encargos,Variação cambial,Total,,,,,,Despesas Capitalizáveis,Abastecimento de Água,Esgotamento Sanitário,Outros,Próprios,Onerosos,Não onerosos,,Despesas Capitalizáveis,Abastecimento de Água,Esgotamento Sanitário,Outros,Próprios,Onerosos,Não onerosos,,Despesas Capitalizáveis,Abastecimento de Água,Esgotamento Sanitário,Outros,Próprios,Onerosos,Não onerosos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tarifa mínima praticada para econ. resid. Micromedidas,Econ. resid. microm. contempladas com tarifa mínima,Vol. máx para fins de tarif. e enquad. na tarífa mínima,Vol. adotado para fins de tarifação  das econ resid. micromedidas,Tarifa mínima praticada para econ. resid. não micromedidas,Econ. resid. não micro. contempladas com tarifa mínima,Vol. máx para fins de tarif. e enquad. na tarifa mínima,Vol. adotado para fins de tarifação das econ resid. não micromedidas,Tarifa mínima praticada para as economias residenciais,Economias residenciais contempladas com a tarifa mínima,Vol. máximo para fins de tarifação e enquadramento na tarifa minima,Vol. adotado para fins de tarifação das econ. residenciais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,município,município,-,sede,localidade,município,município,município,município,município,município,ano,município,-,sede,localidade,município,município,município,município,município,município,ano,habitante,habitante,habitante,habitante,empregados,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,R$/ano,habitante,habitante,ligação,ligação,ligação,economia,economia,economia,economia,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,km,1.000 kWh/ano,habitante,habitante,ligação,ligação,economia,economia,1.000 m³/ano,1.000 m³/ano,1.000 kWh/ano,1.000 kWh/ano,1.000 m³/ano,1.000 m³/ano,1.000 m³/ano,km,1.000 kWh/ano,-,paralisação/ano,hora/ano,economia/ano,interrupção/ano,hora/ano,economia/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,amostra/ano,extravasamentos/ano,hora/ano,reclamações/ano,serviço/ano,hora/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,1.000 R$/ano,Sim / Não,Sim / Não,R$/mês,economias,até X m3,m3/mês,R$/mês,economias,até X m3,m3/mês,R$/mês,economias,até X m3,m3/mês,Sim / Não,Sim / Não,-,R$,economias,Sim / Não,Sim / Não,m3/mês,m3/mês,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,Sim / Não,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,GE005,GE05a,GE019,GE008,GE010,GE001,GE002,GE003,GE025,GE026,GE027,GE017,GE05b,GE020,GE009,GE011,GE014,GE015,GE016,GE028,GE029,GE030,GE018,GE12a,GE06a,GE12b,GE06b,FN026,FN005,FN001,FN002,FN003,FN007,FN038,FN004,FN006,FN008,FN017,FN015,FN010,FN011,FN013,FN014,FN020,FN039,FN021,FN027,FN035,FN036,FN016,FN019,FN022,FN028,FN034,FN037,FN018,FN023,FN024,FN025,FN030,FN031,FN032,FN033,FN041,FN042,FN043,FN044,FN045,FN046,FN047,FN048,FN051,FN052,FN053,FN054,FN055,FN056,FN057,FN058,AG001,AG026,AG021,AG002,AG004,AG003,AG014,AG013,AG022,AG006,AG012,AG024,AG018,AG017,AG019,AG007,AG015,AG027,AG008,AG010,AG011,AG020,AG005,AG028,ES001,ES026,ES009,ES002,ES003,ES008,ES005,ES006,ES012,ES015,ES013,ES014,ES007,ES004,ES028,QD001,QD002,QD003,QD004,QD021,QD022,QD015,QD020,QD006,QD007,QD019,QD008,QD009,QD028,QD026,QD027,QD011,QD012,QD023,QD024,QD025,BL001,BL002,BL003,BL004,BL005,BL006,BL007,BL008,BL009,BL010,BL011,BL012,TR001,TR002,TR006,TR005,TR003,TR004,TR010,TR009,TR007,TR008,TR014,TR013,TR011,TR012,TR015,TR016,TR017,TR034,TR033,TR018,TR019,TR020,TR021,TR022,TR023,TR024,TR025,TR026,TR027,TR028,TR029,TR030,TR031,TR032,PES001,PES002,PES003,PES004,PES005,PES006,PES007,PES020,PES021,PES022,PES023,PES024,PES025,PES026,PES027,PES028,PES029,PES030,PES031,PES032,PES033,PES034,PES008,PES009,PES010,PES011,PES012,PES013,PES040,PES041,PES042,PES043,PES044,PES045,PES046,PES047,PES048,PES049,PES050,PES051,PES052
310390,Araújos,MG,3,31039011,Sanarj Concessionária de Saneamento Básico Ltda,SANARJ,Local,Empresa privada,Água e Esgoto,1,1,Sede Municipal,1,0,1,0,0,,,,2032,1,Sede Municipal,1,0,1,0,0,,,,2032,9.523,8.229,9.523,8.229,21,"2.827.531,92","2.683.844,89","1.793.598,59","890.246,30","0,00","0,00","143.687,03","2.818.274,96","304.042,51","2.656.922,27","2.099.638,89","738.738,39","245.267,38","263.972,96","677.317,90","0,00","0,00","108.981,60","65.360,66","4.664,91","0,00","4.664,91","184.562,12","133.972,81","234.083,54","0,00","4.664,91","0,00","29.081,91","0,00","0,00","29.081,91","0,00","0,00","29.081,91","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",8.229,8.229,3.720,3.332,3.332,3.779,3.779,3.244,3.244,"602,79","602,79","0,00","0,00","0,00","0,00","602,79","0,00","602,79","408,82","408,82","513,17","375,50","66,73","301,68",7.899,7.899,3.414,3.119,3.645,3.129,"336,40","334,20","0,00","0,00","0,00","0,00","256,59","58,17","22,70",Atende integralmente,0,0,0,8,"54,00",,3.650,3.650,0,3.650,3.650,0,530,530,0,70,"132,00",62.005,61.910,"25.922,00","458,02","2.173,22","607,67","128,36","213,79","1.351,76","2.827,53","0,00","262,33","39,68","274,47","408,44",sim,nao,,,,,,,,,"44,24",1616,Até 10m³,,sim,sim,residências menores ou igual a 40 m²,"21,12",40,,,,,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310800,Bom Sucesso,MG,3,31080011,Águas de Bom Sucesso Ltda,ABS,Local,Empresa privada,Água e Esgoto,1,1,Ambos,1,2,1,0,0,,,,2027,1,Sede Municipal,1,0,1,0,0,,,,2027,17.612,14.498,17.612,14.498,30,"7.627.683,70","7.218.572,74","4.813.941,89","2.404.630,85","0,00","0,00","409.110,96","7.580.454,71","780.941,26","6.648.570,79","5.345.765,23","1.201.413,81","555.140,20","620.616,52","2.542.078,20","0,00","0,00","283.442,81","143.073,69","787,45","0,00","787,45","246.129,43","427.478,54","628.410,14","0,00","787,45","0,00","72.451,50","3.112,94","27.700,00","103.264,44","0,00","0,00","103.264,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",17.604,14.498,7.718,6.790,6.790,6.964,6.964,6.331,6.331,"1.042,00","1.042,00","22,50","0,00","0,00","0,00","980,00","62,00","1.042,00","725,00","725,00","824,00","660,00","204,00","810,00",14.480,14.480,6.624,6.003,6.164,5.608,"670,00","670,00","0,00","0,00","0,00","0,00","670,00","180,00","155,00",Atende integralmente,0,0,,0,"0,00",,3.960,3.960,0,3.960,3.960,0,480,480,0,0,"0,00",8.292,8.292,,"1.396,98","3.176,27","0,00","975,50","377,11","2.799,16","7.627,68","0,00","1.402,98","299,45","1.256,86","1.684,34",sim,nao,,,,,,,,,"62,19",,6.00,"6,00",sim,sim,,"27,98",182,sim,sim,0,15,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314610,Ouro Preto,MG,3,31461012,Ouro Preto Serviços de Saneamento S.A.,SANEOURO,Local,Empresa privada,Água e Esgoto,1,1,Ambos,1,12,1,0,0,,,,2055,1,Ambos,1,12,1,0,0,,,,2055,74.824,65.071,74.824,65.071,221,"8.547.760,00","8.339.938,00","6.201.661,00","2.138.277,00","0,00","0,00","207.822,00","6.123.861,72","4.903.802,40","36.368.532,67","23.384.555,29","9.112.979,31","582.888,61","4.750.152,43","2.747.991,23","0,00","0,00","849.123,99","5.341.419,72","11.348.977,67","-1.006,51","11.347.971,16","1.105.296,01","0,00","530.710,21","35.000.000,00","46.347.971,16","0,00","19.328.906,00","821.163,00","88.760,00","0,00","20.238.829,00","0,00","20.238.829,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",65.196,63.331,24.509,24.509,18.438,31.877,24.042,28.775,21.817,"12.851,77","2.720,05","0,00","0,00","0,00","0,00","6.403,55","6.257,22","0,00","4.577,98","6.248,40","4.577,98","4.577,98","485,58","7.305,60",41.530,41.530,20.235,20.235,26.883,24.094,"3.218,05","35,96","0,00","0,00","0,00","0,00","0,00","463,90","5,29",Atende integralmente,85,1.609,43.233,1.095,"26.280,00",54.750,24.537,24.600,118,24.557,24.600,724,4.010,4.438,150,563,"20.044,00",19.224,19.033,"748.631,00","43.560,00","88.240,00","104.380,00","-18.358,00","4.263,00","-20.403,00","8.548,00","0,00","-17.428,00","44.680,00","-17.534,00","-16.604,00",nao,,,,,,,,,,,,,,sim,sim,Lei Municipal 1126/2018,"8,93",12,sim,,,,,,,,sim,,,sim,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314710,Pará de Minas,MG,3,31471011,Águas de Pará de Minas S. A.,CAPAM,Local,Empresa privada,Água e Esgoto,1,1,Ambos,1,13,1,0,0,,,,2050,1,Ambos,1,10,1,0,0,,,,2050,95.616,90.375,95.616,90.375,147,"51.151.472,12","50.360.144,72","26.806.515,21","23.553.629,51","0,00","0,00","791.327,40","50.545.251,25","7.915.023,90","47.367.831,61","35.181.887,88","11.988.382,04","923.601,86","4.208.915,23","7.198.759,54","0,00","0,00","5.272.678,18","5.589.551,03","5.390.975,06","0,00","5.390.975,06","4.245.042,58","2.549.926,09","0,00","24.046.055,41","29.437.030,47","0,00","4.278.487,25","3.301.572,79","986.293,77","2.373.452,78","6.192.901,03","0,00","8.566.353,81","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",95.616,90.375,40.563,38.279,38.279,41.985,41.985,36.602,36.602,"6.714,36","6.714,36","369,29","0,00","0,00","0,00","5.441,38","1.272,98","6.714,36","5.037,58","5.037,58","5.573,74","4.226,46","511,28","5.954,38",95.060,89.903,39.363,36.566,40.113,35.299,"4.715,96","4.715,96","0,00","0,00","0,00","0,00","5.380,41","338,04","622,09",Atende integralmente,8,192,4.687,0,"0,00",0,9.040,10.733,0,9.040,10.733,0,4.380,5.356,0,116,"839,00",31.606,24.662,"397.033,00","31.626,90","113.504,84","50.576,11","5.268,91","27.353,15","35.575,59","51.151,47","0,00","11.415,18","2.641,25","9.208,84","15.355,10",sim,nao,,,,,,,,,20,14032,6.00,"6,00",sim,sim,Contrato de Concessão da Prestação do Serviço Público de Abastecimento de Água Potável e Esgotamento Sanitário de Pará de Minas/MG Nº 0118/2015. Concorrência nº 006/2014. PRC Nº 833/2014,"30,95",374,,,,,,,,,sim,,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314720,Paraguaçu,MG,3,31472011,Concessionária de Saneamento Básico Ltda,COSÁGUA,Local,Empresa privada,Água e Esgoto,1,1,Ambos,1,1,1,0,0,,,,2030,1,Ambos,1,1,1,0,0,,,,2030,21.693,17.872,21.693,17.872,33,"7.941.541,36","7.579.502,52","4.248.761,21","3.330.741,31","0,00","0,00","362.038,84","7.907.248,69","915.708,47","6.296.041,81","5.176.019,08","1.243.411,03","574.253,40","1.235.488,18","1.567.243,62","0,00","0,00","296.070,33","259.552,52","6.628,87","0,00","6.628,87","426.472,32","502.762,48","184.159,06","0,00","6.628,87","0,00","34.276,50","309.518,70","326.865,96","345.405,18","325.255,98","0,00","670.661,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",17.872,17.872,7.953,7.185,7.185,7.525,7.525,6.713,6.713,"1.458,50","1.458,50","53,88","0,00","0,00","0,00","1.444,10","14,40","1.458,50","1.097,31","1.097,31","1.506,75","889,10","102,33","1.859,75",17.872,17.872,7.953,7.185,7.519,6.604,"860,20","860,20","0,00","0,00","0,00","0,00","1.205,40","93,60","133,62",Atende integralmente,0,0,0,0,"0,00",0,3.960,3.960,0,3.960,3.960,0,480,480,0,283,"131,00",9.240,9.240,"21.130,00","1.379,48","5.674,43","173,65","1.578,82","581,05","4.919,13","7.941,54","0,00","2.081,58","570,54","2.005,29","2.508,05",sim,nao,,,,,,,,,"75,44",5560,Até 15m³,,nao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315990,Santo Antônio do Amparo,MG,3,31599012,Águas de Santo Antonio do Amparo,ASAP,Local,Empresa privada,Água e Esgoto,1,1,Ambos,1,1,1,0,0,,,,2048,1,Ambos,1,1,1,0,0,,,,2048,18.697,16.371,18.697,16.371,35,"4.328.788,00","4.260.096,00","3.630.679,00","629.417,00","0,00","0,00","68.692,00","3.720.937,00","1.308.266,00","4.454.090,00","3.639.916,00","1.622.436,00","310.067,00","759.764,00","512.351,00","0,00","0,00","240.278,00","195.020,00","22.390,00","0,00","22.390,00","336.930,00","120.601,00","334.253,00","37.510,00","59.900,00","0,00","1.035.681,00","12.277.799,00","57.164,00","13.370.644,00","0,00","0,00","13.370.644,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",16.371,16.371,6.417,6.171,6.171,6.271,6.271,5.833,5.833,"1.013,26","1.013,26","33,23","0,00","0,00","0,00","776,48","236,78","1.013,26","700,00","700,00","700,00","651,00","80,00","882,28",16.371,16.371,6.226,6.048,6.146,5.716,"553,00","277,00","0,00","0,00","0,00","0,00","211,00","79,00","23,64",Atende integralmente,0,0,0,0,"0,00",0,6.099,6.260,0,6.099,6.260,0,499,638,0,540,"423,00",1.530,1.530,"1.144,00","1.966,26","16.335,62","6.084,14","-117,82","878,53","9.502,94","4.328,79","0,00","2,78","14.369,36","162,75","283,35",nao,,,,,,,,,,,,,,sim,nao,,,1268,,,,,,,,,sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
