cod_munip,nome_munip,pop_munip,pop_atendida_agua,vol_agua_anual,vol_agua_eta,vol_agua_desinfec,vol_agua_fluor,pop_atendida_esgoto,vol_esgoto_coletado,vol_esgoto_tratado,amostra_cloro,amostra_cloro_irregular,amostra_turbidez,amostra_turbidez_irregular,amostra_coliformes,amostra_coliformes_irregular,,cod_prestador,nome_prestador,sigla_prestador,abrangencia_prestador,tipo_prestador,tipo_servico
310010,Abadia dos Dourados,7022,4011,359.29,0.00,359.29,359.29,,,,402,0,399,0,156,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310020,Abaeté,23263,19694,1639.78,1639.78,0.00,1639.78,2134,90.98,0.00,4256,28,4260,3,645,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310030,Abre Campo,13434,9356,684.00,684.00,0.00,0.00,9356,205.20,0.00,4022,26,4022,120,480,2,,31003011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
310040,Acaiaca,3995,3920,1587.00,161.00,161.00,0.00,2553,190.00,0.00,4440,17,708,171,0,0,,31004011,Prefeitura Municipal de Acaiaca,PMA,Local,Administração pública direta,Água e Esgoto
310050,Açucena,9270,3370,217.07,96.59,120.48,217.07,,,,3790,2,3754,0,234,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310050,Açucena,9270,,,,,,4400,50.00,0.00,,,,,,,,31005011,Prefeitura Municipal de Açucena,PMA,Local,Administração pública direta,Esgoto
310060,Água Boa,13319,4694,342.26,342.26,0.00,342.26,,,,552,0,550,0,186,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310060,Água Boa,13319,2182,81.85,81.85,0.00,81.85,,,,3116,1,3116,8,225,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
310070,Água Comprida,1986,1514,153.25,0.00,153.25,153.25,,,,449,3,213,0,111,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310070,Água Comprida,1986,,,,,,1985,300.00,300.00,,,,,,,,31007011,Prefeitura Municipal de Água Comprida,PMAC,Local,Administração pública direta,Esgoto
310080,Aguanil,4557,2900,351.63,157.68,192.95,157.68,2650,120.00,0.00,6205,0,6205,0,648,0,,31008011,Prefeitura Municipal de Águanil,PMA,Local,Administração pública direta,Água e Esgoto
310090,Águas Formosas,19285,13943,787.11,787.11,0.00,787.11,,,,3646,0,3634,0,296,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310090,Águas Formosas,19285,626,43.50,0.00,42.50,0.00,726,18.26,0.00,387,2,201,0,191,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água e Esgotos
310100,Águas Vermelhas,13656,9541,529.38,529.38,0.00,529.38,3855,122.60,122.60,3476,0,3474,6,579,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310110,Aimorés,25116,25116,2030.57,1929.04,64.41,1991.57,22893,1657.95,1077.66,11829,12,6950,77,795,0,,31011011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Autarquia,Água e Esgoto
310120,Aiuruoca,5949,3138,152.24,139.65,0.00,0.00,3138,78.54,0.00,12,0,12,0,12,0,,31012011,Prefeitura Municipal de Aiuruoca,PMA,Local,Administração pública direta,Água e Esgoto
310150,Além Paraíba,35438,28293,2627.57,1289.15,1338.42,2627.57,20254,1038.69,0.00,6655,0,6613,6,1011,7,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310160,Alfenas,80973,69653,6238.07,6211.47,26.60,6238.07,68057,3484.32,3483.65,5667,5,5581,1,894,2,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310163,Alfredo Vasconcelos,7052,4413,286.03,286.03,0.00,286.03,,,,546,0,530,0,165,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310163,Alfredo Vasconcelos,7052,,,,,,4679,200.97,0.00,,,,,,,,31016311,Prefeitura Municipal de Alfredo Vasconcelos,PMAV,Local,Administração pública direta,Esgoto
310170,Almenara,42380,32200,1827.39,1827.39,0.00,1827.39,30439,1169.82,1169.82,9861,0,9866,8,523,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310170,Almenara,42380,1491,53.69,53.69,0.00,24.80,,,,2511,0,1947,4,200,0,,31686000,Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S/A,COPANOR,Regional,Empresa pública,Água
310180,Alpercata,7448,4628,426.72,426.72,0.00,426.72,,,,4156,0,4124,0,242,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310180,Alpercata,7448,,,,,,5868,198.00,0.00,,,,,,,,31018011,Prefeitura Municipal de Alpercata,PMA,Local,Administração pública direta,Esgoto
310190,Alpinópolis,20059,15187,1115.93,1115.93,0.00,1115.93,14738,576.77,547.79,7219,0,7178,1,470,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água e Esgotos
310200,Alterosa,14566,10530,692.29,586.41,105.88,692.29,,,,4673,0,4641,0,347,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310200,Alterosa,14566,,,,,,14566,1177.00,1177.00,,,,,,,,31020011,Prefeitura Municipal de Alterosa,PMA,Local,Administração pública direta,Esgoto
310205,Alto Caparaó,5938,4428,740.00,728.00,0.00,728.00,4428,530.00,0.00,1840,0,1940,0,220,0,,31020511,Prefeitura Municipal de Alto Caparaó,PMAC,Local,Administração pública direta,Água e Esgoto
315350,Alto Jequitibá,8286,3929,314.23,157.12,157.11,314.23,,,,2307,0,2307,0,109,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
315350,Alto Jequitibá,8286,,,,,,8286,270.00,0.00,,,,,,,,31535011,Prefeitura Municipal de Alto Jequitibá,PMAJ,Local,Administração pública direta,Esgoto
310210,Alto Rio Doce,10723,4435,329.85,295.71,34.14,329.85,,,,3874,0,3875,5,224,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310210,Alto Rio Doce,10723,,,,,,5393,477.90,0.00,,,,,,,,31021011,Prefeitura Municipal de Alto Rio Doce,PMARD,Local,Administração pública direta,Esgoto
310220,Alvarenga,3783,2002,135.34,135.34,0.00,135.34,,,,3024,0,3024,3,98,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310220,Alvarenga,3783,,,,,,2300,178.00,0.00,,,,,,,,31022011,Prefeitura Municipal de Alvarenga,PMA,Local,Administração pública direta,Esgoto
310230,Alvinópolis,15135,8405,608.32,608.32,0.00,608.32,,,,3643,0,3643,0,196,1,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310230,Alvinópolis,15135,,,,,,15135,580.00,0.00,,,,,,,,31023011,Prefeitura Municipal de Alvinópolis,PMA,Local,Administração pública direta,Esgoto
310240,Alvorada de Minas,3605,1088,121.60,121.60,0.00,121.60,,,,526,0,524,0,160,0,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310240,Alvorada de Minas,3605,,,,,,1500,68.40,68.40,,,,,,,,31024011,Prefeitura Municipal de Alvorada de Minas,PMAM,Local,Administração pública direta,Esgoto
310250,Amparo do Serra,4643,2490,138.45,0.00,138.45,138.45,,,,617,0,588,0,118,5,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
310260,Andradas,41704,30610,3042.62,3042.62,0.00,3042.62,,,,4731,0,4879,447,592,5,,31062000,Companhia de Saneamento de Minas Gerais,COPASA,Regional,Sociedade de economia mista com administração pública,Água
