"Município";"Internações"
"310160 ALFENAS";1
"310170 ALMENARA";1
"310450 ARINOS";1
"310620 BELO HORIZONTE";1
"310730 BOCAIUVA";1
"310860 BRASILIA DE MINAS";1
"311050 CAMANDUCAIA";1
"311430 CARMO DO PARANAIBA";1
"311750 CONCEICAO DO MATO DENTRO";1
"311860 CONTAGEM";1
"312320 DORES DO INDAIA";1
"312670 FRANCISCO SA";1
"312710 FRUTAL";1
"312960 IBIAI";1
"312980 IBIRITE";1
"313170 ITABIRA";1
"313505 JAIBA";1
"313510 JANAUBA";1
"313620 JOAO MONLEVADE";1
"314100 MATO VERDE";1
"314640 PAINEIRAS";1
"315120 PIRAPORA";2
"315180 POCOS DE CALDAS";1
"315960 SANTA RITA DO SAPUCAI";2
"316990 UBA";2
