"Município";"Internações"
"310350 ARAGUARI";1
"311750 CONCEICAO DO MATO DENTRO";1
"311980 CORREGO DANTA";1
"312320 DORES DO INDAIA";1
"312770 GOVERNADOR VALADARES";3
"313040 IJACI";1
"313080 INGAI";1
"313230 ITAIPE";1
"313375 ITAU DE MINAS";1
"313820 LAVRAS";10
"314140 MEDINA";1
"314330 MONTES CLAROS";2
"314460 NEPOMUCENO";3
"314600 OURO FINO";3
"314810 PATROCINIO";1
"314990 PERDOES";2
"315120 PIRAPORA";2
"316150 SAO GERALDO";1
"316520 SAO THOME DAS LETRAS";1
"316550 SARDOA";1
"316860 TEOFILO OTONI";2
"316970 TURMALINA";1
"317020 UBERLANDIA";4
"317070 VARGINHA";1
"317130 VICOSA";1
"317200 VISCONDE DO RIO BRANCO";1
