"Município";"Internações"
"310020 ABAETE";5
"310030 ABRE CAMPO";55
"310060 AGUA BOA";1
"310090 AGUAS FORMOSAS";250
"310100 AGUAS VERMELHAS";12
"310110 AIMORES";5
"310130 ALAGOA";2
"310140 ALBERTINA";1
"310150 ALEM PARAIBA";16
"310170 ALMENARA";139
"310190 ALPINOPOLIS";10
"310200 ALTEROSA";3
"310210 ALTO RIO DOCE";2
"310230 ALVINOPOLIS";4
"310240 ALVORADA DE MINAS";1
"310250 AMPARO DO SERRA";1
"310260 ANDRADAS";3
"310270 CACHOEIRA DE PAJEU";21
"310285 ANGELANDIA";1
"310290 ANTONIO CARLOS";2
"310320 ARACAI";1
"310340 ARACUAI";16
"310350 ARAGUARI";6
"310370 ARAPONGA";3
"310375 ARAPORA";2
"310400 ARAXA";5
"310420 ARCOS";13
"310430 AREADO";1
"310440 ARGIRITA";1
"310450 ARINOS";6
"310460 ASTOLFO DUTRA";5
"310470 ATALEIA";1
"310490 BAEPENDI";6
"310500 BALDIM";1
"310510 BAMBUI";7
"310520 BANDEIRA";2
"310540 BARAO DE COCAIS";4
"310560 BARBACENA";7
"310590 BARROSO";3
"310620 BELO HORIZONTE";281
"310630 BELO ORIENTE";13
"310640 BELO VALE";1
"310650 BERILO";7
"310660 BERTOPOLIS";71
"310670 BETIM";34
"310690 BICAS";3
"310710 BOA ESPERANCA";4
"310720 BOCAINA DE MINAS";1
"310730 BOCAIUVA";6
"310740 BOM DESPACHO";1
"310760 BOM JESUS DA PENHA";1
"310810 BONFIM";1
"310855 BRASILANDIA DE MINAS";1
"310860 BRASILIA DE MINAS";3
"310870 BRAS PIRES";7
"310880 BRAUNAS";1
"310890 BRAZOPOLIS";1
"310900 BRUMADINHO";1
"310910 BUENO BRANDAO";2
"310920 BUENOPOLIS";1
"310930 BURITIS";1
"310940 BURITIZEIRO";1
"310950 CABO VERDE";5
"310990 CAETANOPOLIS";16
"311000 CAETE";4
"311010 CAIANA";2
"311020 CAJURI";1
"311030 CALDAS";3
"311050 CAMANDUCAIA";8
"311060 CAMBUI";13
"311070 CAMBUQUIRA";9
"311080 CAMPANARIO";2
"311100 CAMPESTRE";4
"311110 CAMPINA VERDE";7
"311130 CAMPO DO MEIO";1
"311150 CAMPOS ALTOS";15
"311160 CAMPOS GERAIS";15
"311170 CANAA";1
"311205 CANTAGALO";2
"311210 CAPARAO";4
"311230 CAPELINHA";3
"311240 CAPETINGA";1
"311260 CAPINOPOLIS";3
"311280 CAPITOLIO";3
"311300 CARAI";3
"311320 CARANDAI";1
"311330 CARANGOLA";25
"311340 CARATINGA";7
"311350 CARBONITA";1
"311370 CARLOS CHAGAS";34
"311390 CARMO DA CACHOEIRA";4
"311430 CARMO DO PARANAIBA";20
"311440 CARMO DO RIO CLARO";12
"311450 CARMOPOLIS DE MINAS";3
"311470 CARVALHOPOLIS";1
"311490 CASA GRANDE";1
"311500 CASCALHO RICO";1
"311510 CASSIA";21
"311520 CONCEICAO DA BARRA DE MINAS";2
"311530 CATAGUASES";17
"311540 CATAS ALTAS DA NORUEGA";2
"311547 CATUTI";1
"311550 CAXAMBU";5
"311560 CEDRO DO ABAETE";1
"311570 CENTRAL DE MINAS";1
"311580 CENTRALINA";1
"311590 CHACARA";1
"311600 CHALE";1
"311610 CHAPADA DO NORTE";4
"311620 CHIADOR";1
"311660 CLAUDIO";1
"311670 COIMBRA";2
"311700 COMERCINHO";1
"311710 CONCEICAO DA APARECIDA";2
"311750 CONCEICAO DO MATO DENTRO";1
"311770 CONCEICAO DO RIO VERDE";3
"311800 CONGONHAS";5
"311830 CONSELHEIRO LAFAIETE";37
"311840 CONSELHEIRO PENA";20
"311850 CONSOLACAO";1
"311860 CONTAGEM";50
"311880 CORACAO DE JESUS";5
"311900 CORDISLANDIA";1
"311930 COROMANDEL";40
"311940 CORONEL FABRICIANO";7
"311950 CORONEL MURTA";1
"311970 CORONEL XAVIER CHAVES";4
"311980 CORREGO DANTA";2
"311990 CORREGO DO BOM JESUS";1
"312015 CRISOLITA";48
"312030 CRISTALIA";5
"312040 CRISTIANO OTONI";1
"312050 CRISTINA";3
"312060 CRUCILANDIA";1
"312080 CRUZILIA";5
"312083 CUPARAQUE";4
"312090 CURVELO";5
"312100 DATAS";1
"312120 DELFINOPOLIS";1
"312160 DIAMANTINA";2
"312180 DIONISIO";1
"312190 DIVINESIA";1
"312200 DIVINO";7
"312210 DIVINO DAS LARANJEIRAS";2
"312220 DIVINOLANDIA DE MINAS";10
"312230 DIVINOPOLIS";1
"312235 DIVISA ALEGRE";3
"312245 DIVISOPOLIS";2
"312250 DOM CAVATI";1
"312260 DOM JOAQUIM";4
"312270 DOM SILVERIO";1
"312290 DONA EUSEBIA";1
"312310 DORES DE GUANHAES";2
"312320 DORES DO INDAIA";4
"312330 DORES DO TURVO";3
"312340 DORESOPOLIS";3
"312350 DOURADOQUARA";2
"312360 ELOI MENDES";3
"312380 ENGENHEIRO NAVARRO";2
"312385 ENTRE FOLHAS";3
"312390 ENTRE RIOS DE MINAS";7
"312400 ERVALIA";9
"312410 ESMERALDAS";6
"312420 ESPERA FELIZ";15
"312430 ESPINOSA";14
"312480 ESTRELA DO SUL";2
"312510 EXTREMA";1
"312530 FARIA LEMOS";1
"312560 FELISBURGO";10
"312590 FERROS";2
"312595 FERVEDOURO";4
"312610 FORMIGA";2
"312630 FORTALEZA DE MINAS";2
"312670 FRANCISCO SA";5
"312675 FRANCISCOPOLIS";3
"312695 FREI LAGONEGRO";2
"312700 FRONTEIRA";1
"312705 FRONTEIRA DOS VALES";38
"312710 FRUTAL";8
"312730 GALILEIA";1
"312733 GAMELEIRAS";1
"312735 GLAUCILANDIA";1
"312737 GOIABEIRA";5
"312738 GOIANA";1
"312750 GONZAGA";7
"312760 GOUVEIA";8
"312770 GOVERNADOR VALADARES";13
"312780 GRAO MOGOL";16
"312800 GUANHAES";8
"312810 GUAPE";7
"312825 GUARACIAMA";1
"312830 GUARANESIA";5
"312840 GUARANI";3
"312850 GUARARA";1
"312870 GUAXUPE";13
"312880 GUIDOVAL";4
"312900 GUIRICEMA";7
"312910 GURINHATA";1
"312930 IAPU";1
"312940 IBERTIOGA";2
"312950 IBIA";2
"312960 IBIAI";1
"312970 IBIRACI";5
"312980 IBIRITE";14
"313030 IGUATAMA";1
"313050 ILICINEA";2
"313060 INCONFIDENTES";1
"313090 INHAPIM";2
"313115 IPABA";2
"313120 IPANEMA";5
"313130 IPATINGA";57
"313140 IPIACU";1
"313160 IRAI DE MINAS";1
"313170 ITABIRA";18
"313180 ITABIRINHA";11
"313190 ITABIRITO";3
"313210 ITACARAMBI";3
"313220 ITAGUARA";3
"313230 ITAIPE";3
"313240 ITAJUBA";11
"313250 ITAMARANDIBA";28
"313260 ITAMARATI DE MINAS";1
"313270 ITAMBACURI";15
"313280 ITAMBE DO MATO DENTRO";1
"313310 ITANHANDU";1
"313320 ITANHOMI";16
"313330 ITAOBIM";1
"313350 ITAPECERICA";6
"313375 ITAU DE MINAS";6
"313380 ITAUNA";14
"313390 ITAVERAVA";1
"313400 ITINGA";1
"313410 ITUETA";18
"313420 ITUIUTABA";104
"313440 ITURAMA";2
"313460 JABOTICATUBAS";6
"313470 JACINTO";2
"313490 JACUTINGA";1
"313500 JAGUARACU";1
"313505 JAIBA";9
"313507 JAMPRUCA";2
"313510 JANAUBA";7
"313520 JANUARIA";12
"313530 JAPARAIBA";1
"313535 JAPONVAR";1
"313540 JECEABA";2
"313545 JENIPAPO DE MINAS";3
"313550 JEQUERI";1
"313570 JEQUITIBA";1
"313580 JEQUITINHONHA";35
"313600 JOAIMA";9
"313620 JOAO MONLEVADE";6
"313630 JOAO PINHEIRO";4
"313650 JORDANIA";3
"313655 JOSE RAYDAN";13
"313657 JOSENOPOLIS";3
"313660 NOVA UNIAO";1
"313670 JUIZ DE FORA";24
"313695 JUVENILIA";13
"313700 LADAINHA";10
"313720 LAGOA DA PRATA";1
"313740 LAGOA DOURADA";2
"313750 LAGOA FORMOSA";4
"313753 LAGOA GRANDE";1
"313760 LAGOA SANTA";7
"313770 LAJINHA";6
"313780 LAMBARI";2
"313810 LASSANCE";1
"313820 LAVRAS";3
"313840 LEOPOLDINA";17
"313862 LIMEIRA DO OESTE";1
"313865 LONTRA";2
"313867 LUISBURGO";1
"313868 LUISLANDIA";1
"313880 LUZ";13
"313890 MACHACALIS";37
"313900 MACHADO";4
"313920 MALACACHETA";29
"313925 MAMONAS";2
"313930 MANGA";6
"313940 MANHUACU";8
"313950 MANHUMIRIM";2
"313960 MANTENA";73
"313980 MAR DE ESPANHA";9
"314000 MARIANA";9
"314015 MARIO CAMPOS";1
"314050 MARTINHO CAMPOS";4
"314053 MARTINS SOARES";3
"314055 MATA VERDE";4
"314060 MATERLANDIA";11
"314070 MATEUS LEME";1
"314090 MATIPO";5
"314100 MATO VERDE";1
"314110 MATOZINHOS";1
"314120 MATUTINA";1
"314130 MEDEIROS";3
"314140 MEDINA";12
"314150 MENDES PIMENTEL";1
"314160 MERCES";2
"314170 MESQUITA";1
"314180 MINAS NOVAS";24
"314200 MIRABELA";2
"314220 MIRAI";49
"314225 MIRAVANIA";2
"314250 MONJOLOS";1
"314260 MONSENHOR PAULO";2
"314270 MONTALVANIA";45
"314290 MONTE AZUL";7
"314300 MONTE BELO";1
"314310 MONTE CARMELO";30
"314315 MONTE FORMOSO";1
"314320 MONTE SANTO DE MINAS";3
"314330 MONTES CLAROS";49
"314350 MORADA NOVA DE MINAS";1
"314380 MUNHOZ";1
"314390 MURIAE";13
"314400 MUTUM";52
"314410 MUZAMBINHO";26
"314430 NANUQUE";16
"314435 NAQUE";1
"314450 NAZARENO";2
"314460 NEPOMUCENO";1
"314465 NINHEIRA";1
"314467 NOVA BELEM";3
"314470 NOVA ERA";6
"314480 NOVA LIMA";11
"314510 NOVA RESENDE";5
"314520 NOVA SERRANA";5
"314530 NOVO CRUZEIRO";14
"314535 NOVO ORIENTE DE MINAS";1
"314537 NOVORIZONTE";5
"314560 OLIVEIRA";2
"314587 ORIZANIA";3
"314590 OURO BRANCO";5
"314600 OURO FINO";8
"314610 OURO PRETO";5
"314625 PADRE CARVALHO";2
"314630 PADRE PARAISO";7
"314650 PAINS";2
"314655 PAI PEDRO";1
"314670 PALMA";1
"314675 PALMOPOLIS";6
"314710 PARA DE MINAS";3
"314730 PARAISOPOLIS";3
"314740 PARAOPEBA";4
"314760 PASSA QUATRO";4
"314770 PASSA TEMPO";2
"314790 PASSOS";37
"314800 PATOS DE MINAS";6
"314810 PATROCINIO";1
"314830 PAULA CANDIDO";2
"314840 PAULISTAS";2
"314850 PAVAO";17
"314860 PECANHA";13
"314870 PEDRA AZUL";11
"314875 PEDRA BONITA";4
"314900 PEDRA DOURADA";6
"314915 PEDRAS DE MARIA DA CRUZ";2
"314930 PEDRO LEOPOLDO";2
"314950 PEQUERI";1
"314980 PERDIZES";1
"314990 PERDOES";3
"314995 PERIQUITO";1
"315050 PIMENTA";3
"315057 PINTOPOLIS";1
"315080 PIRANGA";17
"315090 PIRANGUCU";1
"315100 PIRANGUINHO";1
"315110 PIRAPETINGA";1
"315120 PIRAPORA";11
"315130 PIRAUBA";4
"315140 PITANGUI";6
"315150 PIUMHI";22
"315160 PLANURA";2
"315170 POCO FUNDO";1
"315180 POCOS DE CALDAS";1
"315190 POCRANE";3
"315200 POMPEU";6
"315210 PONTE NOVA";1
"315220 PORTEIRINHA";20
"315250 POUSO ALEGRE";4
"315270 PRADOS";4
"315280 PRATA";24
"315290 PRATAPOLIS";1
"315310 PRESIDENTE BERNARDES";1
"315380 QUELUZITO";1
"315390 RAPOSOS";2
"315400 RAUL SOARES";6
"315410 RECREIO";6
"315420 RESENDE COSTA";24
"315430 RESPLENDOR";61
"315440 RESSAQUINHA";1
"315450 RIACHO DOS MACHADOS";2
"315460 RIBEIRAO DAS NEVES";26
"315470 RIBEIRAO VERMELHO";2
"315490 RIO CASCA";1
"315510 RIO DO PRADO";5
"315530 RIO MANSO";1
"315540 RIO NOVO";1
"315550 RIO PARANAIBA";6
