"Município";"Internações"
"310110 AIMORES";1
"310460 ASTOLFO DUTRA";1
"310620 BELO HORIZONTE";2
"310860 BRASILIA DE MINAS";1
"311700 COMERCINHO";1
"311783 CONEGO MARINHO";1
"311860 CONTAGEM";2
"312600 FLORESTAL";1
"312770 GOVERNADOR VALADARES";1
"313270 ITAMBACURI";1
"313550 JEQUERI";1
"313960 MANTENA";1
"314150 MENDES PIMENTEL";1
"314290 MONTE AZUL";1
"314330 MONTES CLAROS";1
"314587 ORIZANIA";1
"314870 PEDRA AZUL";1
"315460 RIBEIRAO DAS NEVES";2
"315660 RUBIM";1
"315710 SALTO DA DIVISA";1
"316553 SARZEDO";1
"316860 TEOFILO OTONI";1
