"Município";"Internações"
"310340 ARACUAI";1
"310510 BAMBUI";1
"310560 BARBACENA";2
"310620 BELO HORIZONTE";4
"310630 BELO ORIENTE";1
"310930 BURITIS";1
"311230 CAPELINHA";1
"311480 CARVALHOS";1
"311800 CONGONHAS";1
"311840 CONSELHEIRO PENA";1
"312250 DOM CAVATI";1
"312733 GAMELEIRAS";1
"312770 GOVERNADOR VALADARES";2
"313250 ITAMARANDIBA";1
"313520 JANUARIA";1
"313670 JUIZ DE FORA";3
"313920 MALACACHETA";1
"314160 MERCES";1
"314400 MUTUM";1
"314630 PADRE PARAISO";1
"315180 POCOS DE CALDAS";1
"315220 PORTEIRINHA";1
"315460 RIBEIRAO DAS NEVES";1
"315895 SANTANA DO PARAISO";1
"315960 SANTA RITA DO SAPUCAI";1
"316045 SANTO ANTONIO DO RETIRO";1
"316245 SAO JOAO DAS MISSOES";1
"316257 SAO JOAO DO MANTENINHA";1
"316290 SAO JOAO NEPOMUCENO";1
"316292 SAO JOAQUIM DE BICAS";1
"316470 SAO SEBASTIAO DO PARAISO";1
"316630 SERICITA";1
"317020 UBERLANDIA";1
