"Município";"Internações"
"310260 ANDRADAS";1
"310620 BELO HORIZONTE";8
"310670 BETIM";1
"310890 BRAZOPOLIS";1
"311100 CAMPESTRE";1
"311320 CARANDAI";1
"311450 CARMOPOLIS DE MINAS";1
"311530 CATAGUASES";1
"311660 CLAUDIO";1
"311860 CONTAGEM";6
"311930 COROMANDEL";1
"312390 ENTRE RIOS DE MINAS";1
"312420 ESPERA FELIZ";1
"312450 ESTIVA";1
"312980 IBIRITE";1
"313000 IBITURUNA";1
"313170 ITABIRA";1
"313240 ITAJUBA";1
"313670 JUIZ DE FORA";3
"313770 LAJINHA";1
"313840 LEOPOLDINA";1
"313860 LIMA DUARTE";1
"314330 MONTES CLAROS";1
"314590 OURO BRANCO";1
"315100 PIRANGUINHO";1
"315390 RAPOSOS";1
"315460 RIBEIRAO DAS NEVES";1
"315780 SANTA LUZIA";1
"316000 SANTO ANTONIO DO AVENTUREIRO";1
"316240 SAO JOAO DA PONTE";1
"316390 SAO PEDRO DA UNIAO";1
"316920 TOMBOS";1
"316990 UBA";1
"317010 UBERABA";1
"317120 VESPASIANO";1
