codigo_ibge,nome_municipio,sigla_uf,perc_atendimento_agua,perc_atendimento_esgoto
310010,Abadia dos Dourados,MG,57.12,0.0
310020,Abaeté,MG,84.66,9.17
310050,Açucena,MG,36.35,0.0
310060,Água Boa,MG,35.24,0.0
310070,Água Comprida,MG,76.23,0.0
310090,Águas Formosas,MG,72.3,0.0
310100,Águas Vermelhas,MG,69.87,28.23
310150,Além Paraíba,MG,79.84,57.15
310160,Alfenas,MG,86.02,84.05
310163,Alfredo Vasconcelos,MG,62.58,0.0
310170,Almenara,MG,75.98,71.82
310180,Alpercata,MG,62.14,0.0
310190,Alpinópolis,MG,75.71,73.47
310200,Alterosa,MG,72.29,0.0
310210,Alto Rio Doce,MG,41.36,0.0
310220,Alvarenga,MG,52.92,0.0
310230,Alvinópolis,MG,55.53,0.0
310240,Alvorada de Minas,MG,30.18,0.0
310250,Amparo do Serra,MG,53.63,0.0
310260,Andradas,MG,73.4,0.0
310280,Andrelândia,MG,75.94,0.0
310290,Antônio Carlos,MG,69.44,0.0
310300,Antônio Dias,MG,39.36,0.0
310310,Antônio Prado de Minas,MG,62.4,0.0
310320,Araçaí,MG,74.28,0.0
310330,Aracitaba,MG,75.78,0.0
310340,Araçuaí,MG,65.26,41.26
310360,Arantina,MG,84.89,0.0
310370,Araponga,MG,37.64,0.0
310400,Araxá,MG,93.28,93.36
310410,Arceburgo,MG,82.78,79.37
310420,Arcos,MG,90.87,0.0
310430,Areado,MG,82.11,0.0
310450,Arinos,MG,57.41,0.0
310460,Astolfo Dutra,MG,83.49,0.0
310470,Ataléia,MG,42.13,31.07
310480,Augusto de Lima,MG,57.33,0.0
310490,Baependi,MG,71.04,0.0
310500,Baldim,MG,56.22,0.0
310510,Bambuí,MG,82.92,0.0
310540,Barão de Cocais,MG,76.4,0.0
310550,Barão de Monte Alto,MG,70.59,0.0
310560,Barbacena,MG,30.69,27.79
310570,Barra Longa,MG,43.18,0.0
310590,Barroso,MG,83.18,0.0
310600,Bela Vista de Minas,MG,77.17,0.0
310610,Belmiro Braga,MG,25.8,0.0
310620,Belo Horizonte,MG,94.95,93.98
310630,Belo Oriente,MG,71.94,0.0
310640,Belo Vale,MG,43.55,0.0
310665,Berizal,MG,56.01,0.0
310670,Betim,MG,88.45,78.11
310690,Bicas,MG,83.34,0.0
310700,Biquinhas,MG,65.75,0.0
310740,Bom Despacho,MG,90.08,86.51
310750,Bom Jardim de Minas,MG,77.96,0.0
310760,Bom Jesus da Penha,MG,71.55,0.0
310770,Bom Jesus do Amparo,MG,44.6,0.0
310780,Bom Jesus do Galho,MG,65.45,0.0
310790,Bom Repouso,MG,53.15,51.62
310810,Bonfim,MG,47.43,35.74
310820,Bonfinópolis de Minas,MG,73.15,0.0
310825,Bonito de Minas,MG,21.74,0.0
310830,Borda da Mata,MG,69.1,68.21
310840,Botelhos,MG,74.42,53.23
310855,Brasilândia de Minas,MG,82.04,21.69
310860,Brasília de Minas,MG,59.57,50.33
310880,Braúnas,MG,33.44,0.0
310890,Brazópolis,MG,55.79,0.0
310900,Brumadinho,MG,69.41,41.71
310910,Bueno Brandão,MG,52.02,49.67
310920,Buenópolis,MG,62.24,55.74
310925,Bugre,MG,33.56,0.0
310930,Buritis,MG,64.42,26.82
310950,Cabo Verde,MG,56.18,55.05
310970,Cachoeira de Minas,MG,64.23,0.0
310990,Caetanópolis,MG,72.73,0.0
311010,Caiana,MG,51.34,0.0
311020,Cajuri,MG,53.72,0.0
311030,Caldas,MG,47.61,36.62
311040,Camacho,MG,49.88,0.0
311050,Camanducaia,MG,71.09,54.37
311070,Cambuquira,MG,79.16,58.68
311080,Campanário,MG,69.86,0.0
311090,Campanha,MG,79.2,76.34
311100,Campestre,MG,53.95,0.0
311110,Campina Verde,MG,68.01,65.01
311115,Campo Azul,MG,42.45,0.0
311140,Campo Florido,MG,71.31,71.31
311150,Campos Altos,MG,78.61,0.0
311160,Campos Gerais,MG,65.66,0.0
311170,Canaã,MG,41.65,0.0
311180,Canápolis,MG,77.91,0.0
311190,Cana Verde,MG,68.02,0.0
311200,Candeias,MG,70.66,0.0
311205,Cantagalo,MG,53.84,0.0
311210,Caparaó,MG,32.12,0.0
311220,Capela Nova,MG,43.0,0.0
311230,Capelinha,MG,70.28,68.1
311240,Capetinga,MG,78.25,7.14
311250,Capim Branco,MG,89.09,19.85
311260,Capinópolis,MG,79.69,0.0
311270,Capitão Enéas,MG,63.04,39.3
311280,Capitólio,MG,79.35,0.0
311290,Caputira,MG,37.71,0.0
311320,Carandaí,MG,76.06,0.0
311340,Caratinga,MG,74.25,60.3
311350,Carbonita,MG,74.6,58.83
311360,Careaçu,MG,68.09,0.0
